Horizonte|a|btn|bc|ck
Profundidad de la muestra (cm)|0-24|24-55|55-91|91 a +
Materia Orgánica (%)|2,51|||
Carbono Orgánico (%)|1,46|||
Nitrógeno total (%)|0,15|0,04||
Relación C/N|9,7|||
Arcilla, <2 μ (%)|10,2|20,6||12,9
Limo, 2-50 μ (%)|39,6|31,0||25,8
Arena muy fina, 50-100 μ (%)|39,2|36,4||43,9
Arena fina, 100-250 μ (%)|11,7|12,4||16,9
Arena media, 250-500 μ (%)|0,3|0,1||0,5
Arena gruesa, 500-1000 μ (%)|0,3|||0,5
Arena muy gruesa, 1-2 mm (%)||||
Calcáreo, CaCO3 (%)|0,0|2,3|0,6|3,7
Equivalente de humedad (%)|17,7|26,6|18,1|15,9
pH en pasta|5,1|7,4|8,0|8,5
pH en agua 1:2,5|5,3|7,9|8,8|9,3
Mg++|1,2|||
Na+|0,3|||
K+|1,9|||
H+|2,7|||
Conductividad, mmhos/cm|5,4|15,34|18,02|12,01
Suma de bases, me/100 gr (S)|10,5|||
Capacidad de intercambio catiónico, me/100 gr (T)|13,2|20,1||13,0
Saturación con bases, % (S/T)||||
Mg++|14,4|27,2|8,0|5,4
Na+|12,0|112,8|188,0|122,0
K+|6,0|1,4|1,6|1,0
HCO3-|1,6|9,6|4,8|8,0
SO4-|10,9|70,7|105,2|68,2
Cl-|43,2|89,0|100,0|59,2
