Horizonte|a|ac|c|ck
Profundidad de la muestra (cm)|0-27|27-60|60-100|100 a +
Materia Orgánica (%)|2.2|||
Carbono Orgánico (%)|1.30|||
Nitrógeno total (%)|0.14|||
Relación C/N|9.3|||
Arcilla, <2 μ (%)|7.8|3.9|3.1|10.1
Limo, 2-50 μ (%)|34.8|42.9|35.1|30.5
Arena muy fina, 50-100 μ (%)|28.0|32.8|49.2|47.5
Arena fina, 100-250 μ (%)|25.1|19.0|6.8|10.1
Arena media, 250-500 μ (%)|1.3|0.6|3.0|
Arena gruesa, 500-1000 μ (%)||||
Arena muy gruesa, 1-2 mm (%)||||
Calcáreo, CaCO3 (%)|0.0|0.0|0.0|3.6
Equivalente de humedad (%)|16.7|12.8|11.7|12.2
pH en pasta|5.7|6.9|6.8|7.8
pH en agua 1:2,5|6.3|7.0|7.0|8.8
Mg++|0.8|1.5|1.5|
Na+|0.3|0.2|0.3|0.9
K+|1.8|1.9|1.2|1.4
H+|1.6|0.7|0.3|
Na+, % del valor T||||11.3
Suma de bases, me/100 gr (S)|11.5|10.7|10.3|
Capacidad de intercambio catiónico, me/100 gr (T)|13.1|11.4|10.6|8.0
Saturación con bases, % (S/T)|87.8|93.9|97.2|
