Horizonte|ap|a2|ac|c
Profundidad de la muestra (cm)|0-15|15-25|25-55|55 a +
Materia Orgánica (%)|1,81|2,01|0,83|
Carbono Orgánico (%)|1,05|1,17|0,48|
Nitrógeno total (%)|0,09|0,13|0,08|
Relación C/N|11,6|9|6|
Arcilla, <2 μ (%)|13,9|13,1|13,1|11,2
Limo, 2-50 μ (%)|28,8|28,2|25,2|23,0
Arena muy fina, 50-100 μ (%)|42,4|40,5|46,0|49,3
Arena fina, 100-250 μ (%)|14,8|16,3|15,3|15,3
Arena media, 250-500 μ (%)|0,4|0,4|0,4|0,4
Arena gruesa, 500-1000 μ (%)|0,7|0,8|0,3|0,8
Arena muy gruesa, 1-2 mm (%)||||
Calcáreo, CaCO3 (%)|0,0|0,0|0,0|0,0
Equivalente de humedad (%)|14,8|13,6|13,6|11,0
pH en pasta|5,8|5,9|6,2|6,8
pH en agua 1:2,5|6,0|6,0|6,4|6,9
Mg++|0,8|1,2|0,7|2,1
Na+|0,3|0,1|0,2|0,1
K+|1,6|1,6|1,2|1,0
H+|2,3|2,2|1,2|0,7
Na+, % del valor T||||
Suma de bases, me/100 gr (S)|10,2|10,0|9,8|9,3
Capacidad de intercambio catiónico, me/100 gr (T)|12,6|12,2|11,2|10,1
Saturación con bases, % (S/T)|81|82|87|92
