Horizonte|ak|ek|btk|bck
Profundidad de la muestra (cm)|0-17|17-42|42-70|70 a +
Materia Orgánica (%)|2,6|0,7|0,3|0,2
Carbono Orgánico (%)|1,5|0,4|0,2|0,1
Nitrógeno total (%)|0,12|||
Relación C/N|12,5|||
Arcilla, <2 μ (%)|9,9|5,7|11,4|10,9
Limo, 2-50 μ (%)|40,6|38,0|34,8|37,5
Arena muy fina, 50-100 μ (%)|30,6|50,0|36,4|48,0
Arena fina, 100-250 μ (%)|11,9|4,0|17,4|3,0
Arena media, 250-500 μ (%)|1,9|||
Arena gruesa, 500-1000 μ (%)|3,4||0,7|
Arena muy gruesa, 1-2 mm (%)|1,8||0,5|
Calcáreo, CaCO3 (%)|2,3|2,8|1,1|0,9
Equivalente de humedad (%)|25,1|20,9|24,6|18,1
pH en pasta|9,3|9,4|9,1|8,9
pH en agua 1:2,5|9,6|9,9|9,6|9,4
Mg++|0,8|1,0|0,5|0,9
Na+|1,9|3,0|2,8|4,1
K+|3,0|4,1|3,6|3,8
H+||||
Na+, % del valor T|13,0|17,1|15,6|23,2
Conductividad, mmhos/cm|5,8|5,2|6,4|4,5
Suma de bases, me/100 gr (S)|14,6|17,8|18,0|17,8
Capacidad de intercambio catiónico, me/100 gr (T)|14,6|17,5|18,0|17,7
Saturación con bases, % (S/T)|100|100|100|100
Mg++|1,6|1,6|2,0|2,0
Na+|43,0|35,0|52,0|39,0
K+|1,0|0,6|0,6|0,4
HCO3-|25,6|14,4|11,2|11,2
SO4=|36,1|35,5|57,6|26,0
Cl-|2,2|2,8|2,2|8,8
