--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 300
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a|bw|bc|ck
HORIZONTE->Profundidad de la muestra (cm): 0-22|22-48|48-75|75 a +
HORIZONTE->Materia Orgánica (%): 3,6|1,3||
HORIZONTE->Carbono Orgánico (%): 2,1|0,8||
HORIZONTE->Nitrógeno total (%): 0,17|||
HORIZONTE->Relación C/N: 1,3|||
HORIZONTE->Arcilla, <2 µ (%): 27,9|28,3|21,8|17,4
HORIZONTE->Limo, 2-50 µ (%): 61,8|61,0|63,2|59,8
HORIZONTE->Arena muy fina, 50-100 µ (%): 5,5|5,1|6,4|9,1
HORIZONTE->Arena fina, 100-250 µ (%): 1,7|1,9|3,4|5,8
HORIZONTE->Arena media, 250-500 µ (%): 1,3|1,0|1,7|3,8
HORIZONTE->Arena gruesa, 500-1000 µ (%): 2,0|1,4|2,0|3,3
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0,6|0,8|1,2|1,2
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|0,1|3,0
HORIZONTE->Equivalente de humedad (%): 26,4|26,2|25,2|25,5
HORIZONTE->pH en pasta: |||
HORIZONTE->pH en agua 1:2,5: 5,9|7,2|7,1|7,9
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca++: 14,7|13,4||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg++: 4,9|2,7||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na+: 0,6|1,0||
HORIZONTE->Cationes de intercambio (me/100 gr)-K+: 2,2|1,7||
HORIZONTE->Cationes de intercambio (me/100 gr)-H+: |||
HORIZONTE->Suma de bases, me/100 gr (S): 22,4|18,8||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 24,7|19,8|21,8|20,1
HORIZONTE->Saturación con bases, % (S/T): 90,7|94,9|99,1|100,0
