--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 300
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a|bt|bc|c
HORIZONTE->Profundidad de la muestra (cm): 0-18|18-50|50-86|86 a +
HORIZONTE->Materia Orgánica (%): 3,69|1,55|0,68|
HORIZONTE->Carbono Orgánico (%): 2,2|0,9|0,4|
HORIZONTE->Nitrógeno total (%): 0,22|0,10||
HORIZONTE->Relación C/N: 10|9,0||
HORIZONTE->Arcilla, < 2 µ (%): 21,4|27,9|25.0|21,0
HORIZONTE->Limo, 2-50 µ (%): 71,7|66,1|68,2|73,8
HORIZONTE->Arena muy fina, 50-100 µ (%): 4,9|4,8|3,9|3,9
HORIZONTE->Arena fina, 100-250 µ (%): 1,8|0,8|2,6|2,3
HORIZONTE->Arena media, 250-500 µ (%): 0,3|0,4|0,2|0,2
HORIZONTE->Arena gruesa, 500-1000 µ (%): 0,8|0,5|0,4|0,4
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0,1|0,1||0,1
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|0
HORIZONTE->Equivalente de humedad (%): 27,2|29,3|28,6|24,8
HORIZONTE->pH en pasta: 6,3|6,5|6,8|7,0
HORIZONTE->pH en agua 1:2,5: 6,5|6,7|7,0|7,2
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca++: 15,5|16,8|15,3|15,5
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg++: 1,5|1,4|2,2|1,4
HORIZONTE->Cationes de intercambio (me/100 gr)-Na+: 0,3|0,1|0,2|0,1
HORIZONTE->Cationes de intercambio (me/100 gr)-K+: 2,7|1,6|1,9|1,6
HORIZONTE->Cationes de intercambio (me/100 gr)-H+: 1,7|1,2|0,8|0,5
HORIZONTE->Suma de bases, me/100 gr (S): 20,0|19,9|19,6|18,6
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 21,7|21,3|20,5|19,0
HORIZONTE->Saturación con bases, % (S/T): 92|93|96|98
