Horizonte :  ap | a2 | e | bt | bt2 | bc
Profundidad de la muestra (cm) :  0-14 | 14-26 | 26-34 | 34-52 | 52-71 | 71a+
Materia Orgánica (%) :  2,10 | 1,70 | 0,69 | 0,46 | 0,24 | 0,20
Carbono Orgánico (%) :  1,22 | 0,99 | 0,40 | 0,27 | 0,14 | 0,12
Nitrógeno total (%) :  0,14 | 0,12 | 0,05 | 0,05 | 0,04 | 
Relación C/N :  8,7 | 8,2 | 8,0 | 5,4 | 3,5 | 
Arcilla, <2 μ (%) :  14,4 | 13,8 | 10,0 | 19,2 | 18,7 | 14,8
Limo, 2-50 μ (%) :  36,9 | 38,1 | 37,0 | 32,2 | 29,6 | 31,4
Arena muy fina, 50-100 μ (%) :  26,7 | 26,7 | 31,6 | 37,9 | 32,0 | 39,8
Arena fina, 100-250 μ (%) :  18,3 | 18,7 | 19,9 | 9,3 | 18,3 | 12,4
Arena media, 250-500 μ (%) :  0,7 | 0,7 | 0,7 | 0,6 | 0,8 | 0,7
Arena gruesa, 500-1000 μ (%) :  1,5 | 1,3 | 1,4 | 0,1 | 0,3 | 0,8
Arena muy gruesa, 1-2 mm (%) : - | - | - | - | - | 
Calcáreo, CaCO3 (%) :  0,0 | 0,0 | 0,2 | 0,4 | 0,0 | 0,0
Equivalente de humedad (%) :  17,6 | 17,1 | 13,9 | 19,8 | 18,3 | 17,1
pH en pasta :  5,4 | 5,8 | 6,0 | 6,4 | 7,0 | 7,2
pH en agua 1:2,5 :  5,7 | 6,0 | 6,4 | 6,8 | 7,2 | 7,4
Mg++ :  2,4 | 1,4 | 0,9 | 2,3 | 2,2 | 1,9
Na+ :  0,3 | 0,3 | 0,3 | 0,4 | 0,4 | 0,6
K+ :  2,0 | 1,5 | 1,1 | 1,8 | 1,8 | 1,9
H+ :  2,8 | 2,0 | 1,1 | 0,7 | 0,5 | 0,2
Na+, % del valor T : - | - | - | - | - | 
Suma de bases, me/100 gr (S) :  10,4 | 8,5 | 6,8 | 13,3 | 13,1 | 12,9
Capacidad de intercambio catiónico, me/100 gr (T) :  13,2 | 10,7 | 8,0 | 14,2 | 13,8 | 13,1
Saturación con bases, % (S/T) :  79 | 79 | 85 | 94 | 95 | 98
