Horizonte :  e | btn | btn2 | bc | c
Profundidad de la muestra (cm) :  0-18 | 18-35 | 35-66 | 66-103 | 103a+
Materia Orgánica (%) :  1,38 | 0,41 | 0,29 | 0,10 | 
Carbono Orgánico (%) :  0,80 | 0,24 | 0,17 | 0,12 | 
Nitrógeno total (%) :  0,09 | 0,06 | 0,04 | - | 
Relación C/N :  8,9 | 4,0 | 4,2 | - | 
Arcilla, <2 μ (%) :  9,6 | 24,2 | 19,3 | 12,5 | 11,9
Limo, 2-50 μ (%) :  36,0 | 27,9 | 27,4 | 27,9 | 25,0
Arena muy fina, 50-100 μ (%) :  32,2 | 35,0 | 30,9 | 41,7 | 41,4
Arena fina, 100-250 μ (%) :  21,4 | 14,2 | 22,1 | 17,4 | 19,1
Arena media, 250-500 μ (%) :  0,4 | 0,3 | 0,3 | 0,3 | 0,4
Arena gruesa, 500-1000 μ (%) :  0,4 | 0,2 | 0,2 | 0,3 | 0,5
Arena muy gruesa, 1-2 mm (%) : - | - | - | - | 
Calcáreo, CaCO3 (%) :  0,0 | 1,0 | 0,6 | 0,0 | 0,3
Equivalente de humedad (%) :  14,7 | 25,8 | 20,7 | 16,6 | 16,3
pH en pasta :  6,1 | 8,5 | 8,9 | 9,0 | 9,0
pH en agua 1:2,5 :  6,3 | 9,1 | 9,4 | 9,4 | 9,4
Mg++ :  2,4 | - | - | 0,8 | 
Na+ :  0,7 | 8,5 | 10,1 | 8,5 | 9,4
K+ :  1,0 | 2,3 | 2,3 | 1,7 | 2,0
H+ :  1,8 | - | - | - | 
Na+, % del valor T : - | 55 | 66 | 58 | 72
Suma de bases, me/100 gr (S) :  8,0 | - | - | 14,7 | 
Capacidad de intercambio catiónico, me/100 gr (T) :  10,0 | 16,5 | 15,3 | 14,7 | 13,0
Saturación con bases, % (S/T) :  80 | - | - | 100 | 
