Horizonte :  a | e | btn | bc | ck
Profundidad de la muestra (cm) :  0-19 | 19-38 | 38-61 | 61-87 | 87a+
Materia Orgánica (%) :  1.96 | 0.53 | - | - | 
Carbono Orgánico (%) :  1.14 | 0.31 | 0.31 | 0.14 | 0.12
Nitrógeno total (%) :  0.111 | 0.038 | 0.038 | 0.024 | 0.019
Relación C/N :  10.3 | 8.1 | 8.1 | 5.8 | 6.3
Arcilla, <2 μ (%) :  7.2 | 3.4 | 14.6 | 7.4 | 6.6
Limo, 2-50 μ (%) :  37.6 | 33.3 | 32.8 | 31.5 | 30.9
Arena muy fina, 50-100 μ (%) :  52.6 | 60.5 | 47.0 | 54.2 | 54.0
Arena fina, 100-250 μ (%) :  1.2 | 1.0 | 4.0 | 5.6 | 7.9
Arena media, 250-500 μ (%) : - | - | - | - | 
Arena gruesa, 500-1000 μ (%) : - | - | - | - | 
Arena muy gruesa, 1-2 mm (%) : - | - | - | - | 
Calcáreo, CaCO3 (%) :  0.0 | 0.0 | 0.0 | 0.325 | 3.14
Equivalente de humedad (%) :  14.6 | 9.8 | 20.2 | 14.3 | 12.5
pH en pasta :  5.1 | 6.5 | 7.6 | 8.2 | 8.9
pH en agua 1:2,5 :  5.6 | 6.7 | 8.4 | 8.7 | 9.2
Mg++ :  1.9 | 2.4 | 2.5 | - | 
Na+ :  0.3 | 0.7 | 6.4 | 9.0 | 9.0
K+ :  1.5 | 1.0 | 2.3 | 2.2 | 1.9
H+ :  3.2 | 1.3 | - | - | 
Na+, % del valor T : - | 7.4 | 23 | 50 | 
Suma de bases, me/100 gr (S) :  10.8 | 9.4 | 20.6 | - | 
Capacidad de intercambio catiónico, me/100 gr (T) :  14.2 | 10.4 | 20.2 | 18.4 | 11.5
Saturación con bases, % (S/T) :  76 | 90 | 100 | - | 
