Horizonte :  ep | e2 | btn | bc | c | ck
Profundidad de la muestra (cm) :  0-18 | 18-35 | 35-52 | 52-77 | 77-105 | 105a+
Materia Orgánica (%) :  1,9 | 1,2 | - | - | - | 
Carbono Orgánico (%) :  1,10 | 0,70 | - | - | - | 
Nitrógeno total (%) :  0,01 | - | - | - | - | 
Relación C/N :  110,0 | - | - | - | - | 
Arcilla, <2 μ (%) :  2,6 | 2,8 | 13,1 | 7,3 | 2,4 | 2,4
Limo, 2-50 μ (%) :  25,9 | 21,3 | 29,4 | 23,1 | 24,6 | 23,3
Arena muy fina, 50-100 μ (%) :  63,6 | 69,1 | 46,5 | 54,0 | 62,6 | 61,7
Arena fina, 100-250 μ (%) :  7,3 | 6,6 | 12,0 | 14,7 | 9,8 | 11,5
Arena media, 250-500 μ (%) : - | - | - | - | - | 
Arena gruesa, 500-1000 μ (%) : - | - | - | - | - | 
Arena muy gruesa, 1-2 mm (%) : - | - | - | - | - | 
Calcáreo, CaCO3 (%) : - | - | - | - | - | 
Equivalente de humedad (%) :  0,0 | 0,0 | 0,2 | 0,4 | 0,3 | 1,1
pH en pasta :  11,4 | 8,3 | 19,2 | 16,1 | 12,9 | 10,4
pH en agua 1:2,5 :  5,9 | 8,3 | 9,0 | 9,2 | 9,4 | 9,5
Profundidad de la muestra (cm) :  7,1 | 7,7 | 9,5 | 9,6 | 9,7 | 9,9
Mg++ :  0,5 | 0,3 | - | - | - | 
Na+ :  0,7 | 1,6 | 7,6 | 7,6 | 6,6 | 5,9
K+ :  2,0 | 1,5 | 1,9 | 1,8 | 1,5 | 1,4
H+ :  0,3 | - | - | - | - | 
Na+, % del valor T :  7,8 | 20,0 | 59,4 | 76,0 | 80,5 | 86,8
Suma de bases, me/100 gr (S) :  8,7 | 8,0 | - | - | - | 
Capacidad de intercambio catiónico, me/100 gr (T) :  9,0 | 8,0 | 12,8 | 10,0 | 8,2 | 6,8
Saturación con bases, % (S/T) :  96,7 | 100 | - | - | - | 
