Horizonte :  a | btk | bck | ck
Profundidad de la muestra (cm) :  0-19 | 19-38 | 38-58 | 58a+
Materia Orgánica (%) :  1,9 | 0,9 | - | 
Carbono Orgánico (%) :  1,10 | 0,50 | - | 
Nitrógeno total (%) :  0,13 | - | - | 
Relación C/N :  8,5 | - | - | 
Arcilla, <2 μ (%) :  10,0 | 26,2 | 12,9 | 6,3
Limo, 2-50 μ (%) :  36,5 | 20,1 | 17,7 | 22,5
Arena muy fina, 50-100 μ (%) :  41,2 | 40,4 | 55,7 | 61,9
Arena fina, 100-250 μ (%) :  6,1 | 7,9 | 8,1 | 5,6
Arena media, 250-500 μ (%) : - | - | - | 
Arena gruesa, 500-1000 μ (%) : - | - | - | 
Arena muy gruesa, 1-2 mm (%) : - | - | - | 
Calcáreo, CaCO3 (%) :  0,0 | 5,5 | 0,7 | 0,5
Equivalente de humedad (%) :  18,7 | 27,0 | 16,5 | 14,8
pH en pasta :  7,0 | 8,1 | 8,4 | 9,1
pH en agua 1:2,5 :  7,3 | 8,8 | 9,1 | 9,6
Mg++ :  1,4 | - | - | 
Na+ :  0,6 | 3,1 | 5,4 | 1,5
K+ :  1,4 | 2,1 | 2,6 | 2,5
H+ : - | - | - | 
Na+, % del valor T :  5,4 | 21,4 | 54,0 | 17,0
Suma de bases, me/100 gr (S) :  11,2 | - | - | 
Capacidad de intercambio catiónico, me/100 gr (T) :  11,2 | 14,5 | 10,0 | 8,8
Saturación con bases, % (S/T) :  100 | - | - | 
