--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | e     | bt1   | bt2   | bt3   | bc      | c       | ck
HORIZONTE->Profundidad muestra: 4-10  | 15-18 | 25-35 | 45-65 | 75-90 | 100-130 | 148-155 | 165-180
HORIZONTE->Mat. orgánica: 2.60  | 1.53  | 1.22  | 0.67  | 0.40  | 0.17    | 0.16    | 0.14
HORIZONTE->C orgánico: 1.51  | 0.89  | 0.71  | 0.39  | 0.23  | 0.10    | 0.09    | 0.08
HORIZONTE->N total: 0.157 | 0.070 | 0.080 | 0.061 | 0.038 | 0.030   | 0.027   | ---
HORIZONTE->Relación C/N: 10    | 13    | 9     | 6     | 6     | 3       | 3       | ---
HORIZONTE->Arcilla < 2µ: 28.0  | 24.0  | 38.5  | 42.5  | 36.0  | 29.5    | 27.0    | 22.0
HORIZONTE->Limo 2-50µ: 69.5  | 73.5  | 59.5  | 56.0  | 62.5  | 68.0    | 65.0    | 72.0
HORIZONTE->TOTAL: 99.4  | 99.5  | 99.5  | 99.8  | 99.7  | 99.3    | 99.1    | 99.3
HORIZONTE->Limo 2-20µ: 29    | 33.5  | 29.5  | 27.5  | 35.5  | 40.5    | 21      | 21.5
HORIZONTE->Muy fina 50-100µ: 1.6   | 1.7   | 1.1   | 0.9   | 0.8   | 1.4     | 3.7     | 3.2
HORIZONTE->Fina 100-250µ: 0.4   | 0.3   | 0.4   | 0.4   | 0.4   | 0.4     | 3.4     | 2.1
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0     | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0     | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0     | 0.0
HORIZONTE->Calcáreo, CaCO3: ---   | ---   | ---   | 0.1   | 0.1   | 0.2     | 1.5     | 4.8
HORIZONTE->Equiv.humedad: ---   | ---   | ---   | ---   | ---   | ---     | ---     | ---
HORIZONTE->Resist.pasta: 7787  | 9243  | 1749  | 1264  | 827   | 779     | 827     | 1070
HORIZONTE->pH pasta (1:1): 5.8   | 6.4   | 6.9   | 7.6   | 7.9   | 8.1     | 8.6     | 8.9
HORIZONTE->pH agua (1:2,5): 6.1   | 6.7   | 7.9   | 8.4   | 8.6   | 8.8     | 9.4     | 9.4
HORIZONTE->pH 1N ClK (1:2,5): 4.8   | 5.3   | 5.9   | 6.4   | 6.6   | 6.7     | 7.5     | 7.7
HORIZONTE->Ca++ intercambio: 7.2   | 6.8   | 14.2  | 15.9  | 10.8  | 9.1     | 7.6     | 5.7
HORIZONTE->Mg++ intercambio: 1.4   | 1.0   | 5.0   | 4.8   | 6.6   | 5.6     | 6.0     | 5.8
HORIZONTE->Na+ intercambio: 0.4   | 1.0   | 2.9   | 3.8   | 3.7   | 6.3     | 6.2     | 6.0
HORIZONTE->K+ intercambio: 0.9   | 0.7   | 2.4   | 2.7   | 2.1   | 1.9     | 2.4     | 2.0
HORIZONTE->H+ intercambio: 3.5   | 1.5   | 1.0   | ---   | ---   | ---     | ---     | ---
HORIZONTE->(Na+/T): 3.0   | 8.5   | 10.7  | 13.4  | 14.3  | 26.7    | 27.9    | 32.6
HORIZONTE->C.I.C., (T): 14.4  | 12.2  | 26.8  | 28.4  | 25.8  | 23.6    | 22.2    | 18.4
HORIZONTE->Suma bases (S): 9.9   | 9.5   | 24.5  | 27.2  | 23.2  | 22.9    | 22.2    | 19.5
HORIZONTE->Sat.bases, (S/T): 69    | 78    | 91    | 96    | 90    | 97      | 100     | 106
