--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap    | ac    | c     | 2bt1  | 3bt2   | 3bc     | 3c
HORIZONTE->Profundidad: 0-17  | 17-31 | 31-47 | 47-83 | 83-100 | 100-130 | 130a+
HORIZONTE->Mat. orgánica: 3.45  | 2.05  | 1.41  | 0.78  | 0.97   | 0.79    | 0.66
HORIZONTE->C orgánico: 2.00  | 1.19  | 0.82  | 0.45  | 0.56   | 0.46    | 0.38
HORIZONTE->N total: 0.164 | 0.092 | 0.056 | 0.035 | 0.04   | 0.03    | 0.02
HORIZONTE->Relación C/N: 12    | 13    | 15    | 13    | 15     | 17      | 18
HORIZONTE->Arcilla < 2µ: 15.3  | 15.8  | 12.7  | 32.5  | 25.8   | 26.6    | 26.3
HORIZONTE->Limo 2-50µ: 35.0  | 36.1  | 36.7  | 29.8  | 38.0   | 36.2    | 34.5
HORIZONTE->TOTAL: 99.7  | 99.8  | 99.9  | 100.1 | 100.1  | 100.1   | 100.1
HORIZONTE->Limo 2-20µ: 16.7  | 18.1  | 18.3  | 14.5  | 21.2   | 18.9    | 16.5
HORIZONTE->Muy fina 50-100µ: 18.4  | 18.6  | 20.1  | 15.2  | 17.7   | 18.4    | 20.2
HORIZONTE->Fina 100-250µ: 19.4  | 18.7  | 19.1  | 14.7  | 13.6   | 14.2    | 14.6
HORIZONTE->Media 250-500µ: 10.4  | 9.4   | 10.1  | 7.0   | 4.4    | 4.0     | 3.9
HORIZONTE->Gruesa 500-1000µ: 1.2   | 1.1   | 1.2   | 0.9   | 0.6    | 0.7     | 0.5
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.1   | 0.0   | 0.0   | 0.1    | 0.1     | 0.0
HORIZONTE->Calcáreo, CaCO3: ----- | ----- | ----- | ----- | -----  | -----   | -----
HORIZONTE->Equiv.humedad: ----- | ----- | ----- | ----- | -----  | -----   | -----
HORIZONTE->Resist.pasta: 1481  | 2468  | 2468  | 770   | 435    | 464     | 533
HORIZONTE->pH pasta (1:1): 5.2   | 5.9   | 6.7   | 7.2   | 7.4    | 7.6     | 7.6
HORIZONTE->pH agua (1:2,5): 5.4   | 6.2   | 7.3   | 7.9   | 8.1    | 8.4     | 8.4
HORIZONTE->pH 1N ClK (1:2,5): 4.9   | 5.2   | 6.1   | 6.4   | 6.5    | 6.5     | 6.5
HORIZONTE->Ca++ intercambio: 5.3   | 4.6   | 3.9   | 6.9   | 7.7    | 9.0     | 9.2
HORIZONTE->Mg++ intercambio: 1.2   | 0.8   | 0.6   | 0.5   | 0.7    | 2.0     | 0.8
HORIZONTE->Na+ intercambio: 1.4   | 0.8   | 0.8   | 3.2   | 2.7    | 4.8     | 4.3
HORIZONTE->K+ intercambio: 0.4   | 0.4   | 0.3   | 1.1   | 0.9    | 1.1     | 1.1
HORIZONTE->H+ intercambio: 3.4   | 2.0   | 0.8   | 0.8   | 0.8    | 0.8     | 0.8
HORIZONTE->(Na+/T): 8.7   | 4.5   | 5.8   | 18.1  | 13.4   | 26.9    | 19.9
HORIZONTE->C.I.C., (T): 16.1  | 17.7  | 13.7  | 17.7  | 20.2   | 17.8    | 21.6
HORIZONTE->Suma bases (S): 8.3   | 6.6   | 5.6   | 11.7  | 12.0   | 16.9    | 15.4
HORIZONTE->Sat.bases, (S/T): 52    | 37    | 41    | 66    | 59     | 95      | 71
