--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | e     | bt1   | bt2   | bc
HORIZONTE->Profundidad muestra: 0     | 29    | 39    | 65    | 88
HORIZONTE->Mat. orgánica: 3.91  | 1.53  | 1.19  | 0.53  | 0.28
HORIZONTE->C orgánico: 2.27  | 0.89  | 0.69  | 0.31  | 0.16
HORIZONTE->N total: 0.199 | 0.064 | 0.074 | 0.051 | 0.033
HORIZONTE->Relación C/N: 11    | 14    | 9     | 6     | 5
HORIZONTE->Arcilla < 2µ: 26.0  | 25.0  | 50.0  | 50.0  | 35.0
HORIZONTE->Limo 2-50µ: 70.5  | 72.0  | 48.0  | 48.5  | 62.5
HORIZONTE->TOTAL: 98.8  | 99.6  | 99.5  | 99.6  | 99.6
HORIZONTE->Limo 2-20µ: 30.5  | 33.0  | 19.0  | 23.5  | 26.0
HORIZONTE->Muy fina 50-100µ: 2.0   | 1.8   | 1.2   | 1.0   | 1.8
HORIZONTE->Fina 100-250µ: 0.2   | 0.6   | 0.2   | 0.1   | 0.2
HORIZONTE->Media 250-500µ: 0.1   | 0.2   | 0.1   | 0.0   | 0.1
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: ---   | ---   | ---   | ---   | ---
HORIZONTE->Equiv.humedad: 31.1  | 29.0  | 57.0  | 54.7  | 41.7
HORIZONTE->Resist.pasta: 4739  | 4503  | 1138  | 711   | 474
HORIZONTE->pH pasta (1:1): 5.8   | 7.2   | 7.0   | 7.3   | 7.4
HORIZONTE->pH agua (1:2,5): 6.0   | 6.6   | 7.4   | 7.8   | 8.1
HORIZONTE->pH 1N ClK (1:2,5): 5.1   | 5.5   | 6.1   | 6.2   | 6.6
HORIZONTE->Ca++ intercambio: 8.4   | 7.0   | 16.0  | 16.0  | 15.4
HORIZONTE->Mg++ intercambio: 0.8   | 0.4   | 3.2   | 3.2   | 3.4
HORIZONTE->Na+ intercambio: 1.0   | 1.1   | 4.4   | 4.7   | 4.0
HORIZONTE->K+ intercambio: 1.5   | 0.9   | 2.3   | 2.0   | 2.5
HORIZONTE->H+ intercambio: ---   | ---   | ---   | ---   | ---
HORIZONTE->(Na+/T): 6.7   | 8.9   | 15.4  | 16.5  | 15.7
HORIZONTE->C.I.C., (T): 15.0  | 12.0  | 28.6  | 28.4  | 25.4
HORIZONTE->Suma bases (S): 11.7  | 9.4   | 25.9  | 25.9  | 25.3
HORIZONTE->Sat.bases, (S/T): 78    | 78    | 91    | 91    | 100
