--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a1    | a2    | ac    | 2b    | bc    | 2c
HORIZONTE->Profundidad muestra: 5     | 25    | 35    | 50    | 90    | 110
HORIZONTE->Mat. orgánica: 2.12  | 1.05  | 0.52  | 0.10  | ---   | ---
HORIZONTE->C orgánico: 1.23  | 0.61  | 0.30  | 0.06  | ---   | ---
HORIZONTE->N total: 0.118 | 0.076 | 0.053 | ---   | ---   | ---
HORIZONTE->Relación C/N: 10    | 8     | 6     | ---   | ---   | ---
HORIZONTE->Arcilla < 2µ: 17.8  | 14.6  | 11.5  | 22.9  | 18.4  | 16.8
HORIZONTE->Limo 2-50µ: 35.9  | 34.9  | 38.5  | 33.5  | 33.8  | 31.9
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ: ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Muy fina 50-100µ: 45.2  | 48.9  | 47.2  | 42.0  | 46.3  | 49.0
HORIZONTE->Fina 100-250µ: 1.1   | 1.6   | 2.8   | 1.6   | 1.5   | 2.3
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | vest. | vest. | vest.
HORIZONTE->Equiv.humedad: 18.1  | 15.3  | 12.3  | 25.4  | 18.9  | 16.3
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 6.5   | 6.9   | 7.6   | 8.1   | 8.5   | 9.0
HORIZONTE->pH agua (1:2,5): 7.4   | 7.3   | 8.4   | 9.1   | 9.5   | 9.8
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Ca++ intercambio: 5.2   | 5.9   | 5.2   | ---   | ---   | ---
HORIZONTE->Mg++ intercambio: 3.3   | 1.6   | 3.8   | ---   | ---   | ---
HORIZONTE->Na+ intercambio: 0.4   | 0.6   | 1.7   | 5.4   | 3.3   | 8.6
HORIZONTE->K+ intercambio: 3.1   | 2.8   | 2.5   | 5.8   | 4.5   | 3.2
HORIZONTE->H+ intercambio: 4.9   | 3.5   | ---   | ---   | ---   | ---
HORIZONTE->(Na+/T): 3.3   | 5.3   | 23.3  | 27.0  | 28.9  | 87.8
HORIZONTE->C.I.C., (T): 12.2  | 11.3  | 7.3   | 20.0  | 11.4  | 9.8
HORIZONTE->Suma bases (S): 12.0  | 10.9  | 13.2  | ---   | ---   | ---
HORIZONTE->Sat.bases, (S/T): 98    | 96    | 181   | ---   | ---   | ---
