--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap    | ba    | bt1   | bt2   | bc    | c     | ck
HORIZONTE->Profundidad muestra: 5     | 20    | 35    | 58    | 85    | 135   | 210
HORIZONTE->Mat. orgánica: 2.98  | 1.43  | 1.03  | 0.72  | 0.45  | 0.24  | 0.21
HORIZONTE->C orgánico: 1.73  | 0.83  | 0.60  | 0.42  | 0.26  | 0.14  | 0.12
HORIZONTE->N total: 0.164 | 0.097 | 0.076 | 0.055 | 0.04  | 0.02  | ---
HORIZONTE->Relación C/N: 11    | 9     | 8     | 8     | 7     | 6     | ---
HORIZONTE->Arcilla < 2µ: 21.9  | 27.2  | 33.6  | 28.1  | 18.2  | 9.1   | 11.2
HORIZONTE->Limo 2-50µ: 67.2  | 61.8  | 56.6  | 56.8  | 63.5  | 65.2  | 77.7
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ: ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Muy fina 50-100µ: 9.8   | 10.1  | 9.5   | 13.3  | 16.8  | 21.9  | 9.0
HORIZONTE->Fina 100-250µ: 1.1   | 0.9   | 0.3   | 1.8   | 1.5   | 3.8   | 2.1
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 7.6
HORIZONTE->Equiv.humedad: 27.4  | 27.4  | 29.,9 | 26.7  | 23.1  | 16.7  | 21.7
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 5.8   | 6.2   | 6.2   | 6.0   | 6.1   | 6.1   | 7.4
HORIZONTE->pH agua (1:2,5): 6.1   | 6.4   | 6.4   | 6.3   | 6.3   | 6.3   | 8.0
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Ca++ intercambio: 11.8  | 10.4  | 12.3  | 11.6  | 10.2  | 9.5   | ---
HORIZONTE->Mg++ intercambio: 3.7   | 3.5   | 4.0   | 4.2   | 4.8   | 4.5   | ---
HORIZONTE->Na+ intercambio: 0.2   | 0.2   | 0.2   | 0.1   | 0.1   | 0.2   | 0.2
HORIZONTE->K+ intercambio: 3.1   | 3.1   | 3.6   | 2.6   | 1.9   | 1.3   | 1.8
HORIZONTE->H+ intercambio: 5.0   | 4.0   | 4.0   | 4.0   | 2.4   | 2.0   | ---
HORIZONTE->(Na+/T): 0.9   | 1.0   | 0.8   | 0.4   | 0.5   | 1.2   | 1.1
HORIZONTE->C.I.C., (T): 22.1  | 20.6  | 24.3  | 22.5  | 18.4  | 16.7  | 18.2
HORIZONTE->Suma bases (S): 18.8  | 17.2  | 20.1  | 18.5  | 17.0  | 15.5  | 2.0
HORIZONTE->Sat.bases, (S/T): 85    | 83    | 83    | 82    | 92    | 93    | 11
