--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap    | a     | eb    | bt1   | bt2   | bt3    | bc      | c
HORIZONTE->Profundidad muestra: 5-10  | 16-21 | 25-31 | 35-58 | 62-80 | 84-103 | 107-128 | 132-148
HORIZONTE->Mat. orgánica: 2.52  | 2.33  | 1.91  | 0.97  | 0.84  | 0.60   | 0.33    | 0.29
HORIZONTE->C orgánico: 1.46  | 1.35  | 1.11  | 0.56  | 0.49  | 0.35   | 0.19    | 0.17
HORIZONTE->N total: 0.135 | 0.103 | 0.092 | 0.076 | 0.065 | 0.046  | 0.034   | 0.029
HORIZONTE->Relación C/N: 11    | 13    | 12    | 7     | 8     | 8      | 6       | 6
HORIZONTE->Arcilla < 2µ: 27.0  | 29.0  | 28.5  | 37.0  | 34.0  | 33.5   | 26.0    | 26.0
HORIZONTE->Limo 2-50µ: 70.0  | 69.0  | 69.5  | 61.0  | 64.0  | 63.5   | 69.0    | 71.5
HORIZONTE->TOTAL: 99.2  | 99.6  | 99.5  | 99.5  | 99.4  | 99.7   | 99.3    | 99.6
HORIZONTE->Limo 2-20µ: 29.0  | 29.0  | 24.0  | 24.5  | 33.0  | 37.5   | 30.5    | 28.5
HORIZONTE->Muy fina 50-100µ: 1.7   | 1.2   | 1.2   | 1.2   | 1.2   | 1.8    | 2.9     | 1.8
HORIZONTE->Fina 100-250µ: 0.4   | 0.4   | 0.3   | 0.3   | 0.2   | 0.9    | 1.5     | 0.3
HORIZONTE->Media 250-500µ: 0.1   | 0.0   | 0.0   | 0.0   | 0.0   | 0.1    | 0.0     | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Calcáreo, CaCO3: ---   | ---   | ---   | ---   | ---   | ---    | ---     | ---
HORIZONTE->Equiv.humedad: ---   | ---   | ---   | ---   | ---   | ---    | ---     | ---
HORIZONTE->Resist.pasta: 5074  | 3088  | 3353  | 2382  | 2206  | 2647   | 2912    | 3267
HORIZONTE->pH pasta (1:1): 5.7   | 5.8   | 5.8   | 5.9   | 6.1   | 6.3    | 6.3     | 6.8
HORIZONTE->pH agua (1:2,5): 6.0   | 6.0   | 6.1   | 6.6   | 6.8   | 7.0    | 7.0     | 7.1
HORIZONTE->pH 1N ClK (1:2,5): 5.2   | 5.2   | 5.2   | 5.1   | 5.3   | 5.3    | 5.4     | 5.5
HORIZONTE->Ca++ intercambio: 8.8   | 10.0  | 10.8  | 14.2  | 16.0  | 15.2   | 13.2    | 13.0
HORIZONTE->Mg++ intercambio: 1.8   | 2.4   | 3.0   | 4.4   | 3.8   | 4.4    | 3.6     | 3.0
HORIZONTE->Na+ intercambio: 0.1   | 0.1   | 0.1   | 0.1   | 0.2   | 0.1    | 0.2     | 0.2
HORIZONTE->K+ intercambio: 1.4   | 1.3   | 1.2   | 2.0   | 2.3   | 2.3    | 2.1     | 1.8
HORIZONTE->H+ intercambio: 4.5   | 3.5   | 2.9   | 2.9   | 0.4   | 0.4    | 0.9     | 0.4
HORIZONTE->(Na+/T): 0.6   | 0.6   | 0.5   | 0.4   | 0.8   | 0.4    | 0.9     | 1.0
HORIZONTE->C.I.C., (T): 17.2  | 17.6  | 18.2  | 24.6  | 23.8  | 23.4   | 22.6    | 21.0
HORIZONTE->Suma bases (S): 12.1  | 13.8  | 15.1  | 20.7  | 22.3  | 22.0   | 19.1    | 18.0
HORIZONTE->Sat.bases, (S/T): 70    | 78    | 83    | 84    | 94    | 94     | 85      | 86
