--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | ac    | c
HORIZONTE->Profundidad muestra: 0     | 23    | 63
HORIZONTE->Mat. orgánica: 2.38  | 0.86  | 0.28
HORIZONTE->C orgánico: 1.38  | 0.50  | 0.16
HORIZONTE->N total: 0.137 | 0.067 | 0.036
HORIZONTE->Relación C/N: 10    | 7     | 4
HORIZONTE->Arcilla < 2µ: 15.7  | 11.5  | 7.2
HORIZONTE->Limo 2-50µ: 35.4  | 34.0  | 30.9
HORIZONTE->TOTAL: 99.4  | 98.5  | 99.6
HORIZONTE->Muy fina 50-100µ: 46.0  | 49.9  | 53.7
HORIZONTE->Fina 100-250µ: 2.3   | 3.1   | 7.8
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0
HORIZONTE->Equiv.humedad: 18.1  | 15.7  | 11.7
HORIZONTE->Resist.pasta: ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 5.6   | 6.4   | 6.7
HORIZONTE->pH agua (1:2,5): 5.9   | 6.6   | 7.0
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---   | ---
HORIZONTE->Ca++ intercambio: 7.6   | 8.6   | 7.1
HORIZONTE->Mg++ intercambio: 1.2   | 1.7   | 1.7
HORIZONTE->Na+ intercambio: 0.3   | 0.3   | 0.3
HORIZONTE->K+ intercambio: 1.5   | 1.0   | 1.0
HORIZONTE->H+ intercambio: 2.9   | 1.1   | 0.6
HORIZONTE->(Na+/T): 2.2   | 2.3   | 2.9
HORIZONTE->C.I.C., (T): 13.7  | 12.9  | 10.5
HORIZONTE->Suma bases (S): 10.6  | 11.6  | 10.1
HORIZONTE->Sat.bases, (S/T): 77    | 90    | 96
