--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | e     | bt    | bck   | c
HORIZONTE->Profundidad muestra: 0     | 23    | 35    | 80    | 125
HORIZONTE->Mat. orgánica: 3.48  | 0.84  | 0.69  | 0.38  | 0.16
HORIZONTE->C orgánico: 2.02  | 0.49  | 0.40  | 0.22  | 0.09
HORIZONTE->N total: 0.197 | 0.061 | 0.054 | 0.034 | ---
HORIZONTE->Relación C/N: 10    | 8     | 7     | 6     | ---
HORIZONTE->Arcilla < 2µ: 24.4  | 16.3  | 34.1  | 23.0  | 14.9
HORIZONTE->Limo 2-50µ: 66.6  | 75.3  | 58.3  | 66.7  | 67.3
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ: ---   | ---   | ---   | ---   | ---
HORIZONTE->Muy fina 50-100µ: 8.2   | 7.7   | 7.0   | 9.1   | 15.8
HORIZONTE->Fina 100-250µ: 0.8   | 0.7   | 0.6   | 1.2   | 2.0
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.00  | 0.00  | vest. | 0.40  | 0.20
HORIZONTE->Equiv.humedad: 32.7  | 27.4  | 50.6  | 41.2  | 29.5
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 5.9   | 7.5   | 8.6   | 8.8   | 8.8
HORIZONTE->pH agua (1:2,5): 5.8   | 7.9   | 8.8   | 9.1   | 9.0
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---   | ---   | ---   | ---
HORIZONTE->Ca++ intercambio: 11.1  | 7.2   | 9.2   | ---   | ---
HORIZONTE->Mg++ intercambio: 2.4   | 2.2   | 4.5   | ---   | ---
HORIZONTE->Na+ intercambio: 1.3   | 3.0   | 12.3  | 12.8  | 7.8
HORIZONTE->K+ intercambio: 1.3   | 0.9   | 3.0   | 3.2   | 3.0
HORIZONTE->H+ intercambio: 7.2   | 1.6   | 3.0   | ---   | ---
HORIZONTE->(Na+/T): 6.2   | 22.1  | 42.4  | 44.6  | 37.3
HORIZONTE->C.I.C., (T): 20.9  | 13.6  | 29.0  | 28.7  | 20.9
HORIZONTE->Suma bases (S): 16.1  | 13.3  | 29.0  | ---   | ---
HORIZONTE->Sat.bases, (S/T): 77    | 98    | 100   | ---   | ---
