--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | e     | bt1   | bt2   | bc     | c
HORIZONTE->Profundidad muestra: 0-17  | 17-26 | 26-53 | 53-97 | 97-154 | 154-200
HORIZONTE->Mat. orgánica: 3.97  | 1.86  | 1.07  | 0.55  | 0.36   | 0.16
HORIZONTE->C orgánico: 2.30  | 1.08  | 0.62  | 0.32  | 0.21   | 0.09
HORIZONTE->N total: 0.157 | 0.075 | 0.062 | 0.048 | 0.03   | 0.03
HORIZONTE->Relación C/N: 15    | 14    | 10    | 7     | 6      | 4
HORIZONTE->Arcilla < 2µ: 28.3  | 26.5  | 39.3  | 47.0  | 30.4   | 25.5
HORIZONTE->Limo 2-50µ: 68.7  | 70.7  | 59.0  | 51.6  | 68.1   | 71.4
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0
HORIZONTE->Limo 2-20µ: 44.7  | 44.6  | 40.1  | 32.8  | 47.1   | 48.1
HORIZONTE->Muy fina 50-100µ: 2.3   | 2.2   | 1.3   | 1.2   | 1.1    | 2.9
HORIZONTE->Fina 100-250µ: 0.5   | 0.5   | 0.2   | 0.2   | 0.2    | 0.2
HORIZONTE->Media 250-500µ: 0.2   | 0.1   | 0.2   | 0.0   | 0.2    | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
HORIZONTE->Calcáreo, CaCO3: ---   | ---   | ---   | ---   | ---    | ---
HORIZONTE->Equiv.humedad: ---   | ---   | ---   | ---   | ---    | ---
HORIZONTE->Resist.pasta: 226   | 453   | 310   | 477   | 740    | 776
HORIZONTE->pH pasta (1:1): 6.0   | 7.5   | 7.8   | 8.0   | 8.1    | 8.3
HORIZONTE->pH agua (1:2,5): 6.2   | 7.7   | 8.2   | 8.4   | 8.5    | 8.6
HORIZONTE->pH 1N ClK (1:2,5): 5.6   | 6.6   | 6.6   | 6.6   | 6.3    | 6.3
HORIZONTE->Ca++ intercambio: 12.1  | 11.2  | 12.8  | 12.4  | 14.5   | 13.6
HORIZONTE->Mg++ intercambio: 3.7   | 2.6   | 3.6   | 3.2   | 2.9    | 4.6
HORIZONTE->Na+ intercambio: 2.6   | 3.2   | 5.9   | 5.9   | 6.2    | 6.0
HORIZONTE->K+ intercambio: 1.3   | 1.3   | 2.4   | 2.2   | 2.3    | 2.5
HORIZONTE->H+ intercambio: 3.4   | 0.8   | 0.0   | 0.0   | 0.0    | 0.0
HORIZONTE->(Na+/T): 11.6  | 17.3  | 23.4  | 24.2  | 24.2   | 23.3
HORIZONTE->C.I.C., (T): 22.5  | 18.5  | 25.2  | 24.4  | 25.6   | 25.8
HORIZONTE->Suma bases (S): 19.7  | 18.3  | 24.7  | 23.7  | 25.9   | 26.7
HORIZONTE->Sat.bases, (S/T): 88    | 99    | 98    | 97    | 101    | 103
