--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | e     | bt1   | bt2   | bcm    | cm
HORIZONTE->Profundidad muestra: 5-15  | 28-32 | 37-60 | 70-80 | 90-110 | 120-170
HORIZONTE->Mat. orgánica: 3.69  | 1.31  | 0.74  | 0.33  | 0.22   | 0.17
HORIZONTE->C orgánico: 2.14  | 0.76  | 0.43  | 0.19  | 0.13   | 0.10
HORIZONTE->N total: 0.179 | 0.081 | 0.067 | 0.045 | 0.03   | 0.03
HORIZONTE->Relación C/N: 12    | 9     | 6     | 4     | 4      | 3
HORIZONTE->Arcilla < 2µ: 25.7  | 19.3  | 30.2  | 21.2  | 14.3   | 11.6
HORIZONTE->Limo 2-50µ: 69.2  | 73.9  | 65.4  | 71.2  | 72.4   | 72.5
HORIZONTE->TOTAL: 100.5 | 100.9 | 100.9 | 99.7  | 99.9   | 98.9
HORIZONTE->Limo 2-20µ: ----  | ----  | ----  | ----  | ----   | ----
HORIZONTE->Muy fina 50-100µ: 5.0   | 7.0   | 5.1   | 6.9   | 7.0    | 6.4
HORIZONTE->Fina 100-250µ: 0.6   | 0.7   | 0.2   | 0.3   | 2.4    | 4.3
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 1.3    | 1.3
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.1   | 2.4    | 2.6
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.1    | 0.2
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 1.2   | 2.5    | 4.2
HORIZONTE->Equiv.humedad: 29.0  | 23.9  | 32.7  | 31.8  | 29.1   | 26.7
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---    | ---
HORIZONTE->pH pasta (1:1): 6.6   | 6.7   | 7.1   | 7.9   | 8.0    | 8.0
HORIZONTE->pH agua (1:2,5): 6.8   | 7.1   | 7.3   | 8.3   | 8.5    | 8.6
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---   | ---   | ---   | ---    | ---
HORIZONTE->Ca++ intercambio: 11.5  | 8.6   | 19.4  | ---   | ---    | ---
HORIZONTE->Mg++ intercambio: 2.6   | 2.0   | 3.8   | ---   | ---    | ---
HORIZONTE->Na+ intercambio: 0.6   | 0.4   | 1.0   | 0.7   | 1.7    | 1.7
HORIZONTE->K+ intercambio: 2.6   | 1.6   | 3.6   | 2.5   | 3.9    | 2.8
HORIZONTE->H+ intercambio: ---   | ---   | ---   | ---   | ---    | ---
HORIZONTE->(Na+/T): 3.3   | 2.9   | 3.5   | 2.2   | 6.0    | 6.4
HORIZONTE->C.I.C., (T): 18.4  | 14.0  | 28.4  | 32.0  | 28.4   | 26.6
HORIZONTE->Suma bases (S): 17.3  | 12.6  | 27.8  | ---   | ---    | ---
HORIZONTE->Sat.bases, (S/T): 94    | 90    | 98    | ---   | ---    | ---
