--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap    | a     | e     | bt1   | bt1   | bt2    | bc      | c       | ck
HORIZONTE->Profundidad muestra: 5-10  | 17-23 | 28-32 | 40-55 | 65-80 | 90-100 | 110-115 | 140-160 | 180-190
HORIZONTE->Mat. orgánica: 2.76  | 2.10  | 1.28  | 1.00  | 0.74  | 0.40   | 0.31    | 0.24    | 0.17
HORIZONTE->C orgánico: 1.60  | 1.22  | 0.74  | 0.58  | 0.43  | 0.23   | 0.18    | 0.14    | 0.10
HORIZONTE->N total: 0.173 | 0.129 | 0.083 | 0.082 | 0.063 | 0.051  | 0.035   | 0.031   | ---
HORIZONTE->Relación C/N: 9     | 9     | 9     | 7     | 7     | 5      | 5       | 5       | ---
HORIZONTE->Arcilla < 2µ: 24.0  | 28.0  | 23.8  | 34.5  | 36.5  | 31.8   | 25.3    | 19.5    | 21.0
HORIZONTE->Limo 2-50µ: 72.2  | 68.7  | 72.3  | 62.6  | 60.7  | 65.2   | 70.0    | 75.2    | 73.9
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0   | 100.0
HORIZONTE->Limo 2-20µ: ---   | ---   | ---   | ---   | ---   | ---    | ---     | ---     | ---
HORIZONTE->Muy fina 50-100µ: 2.8   | 2.9   | 3.6   | 2.7   | 2.5   | 2.6    | 3.8     | 3.4     | 4.1
HORIZONTE->Fina 100-250µ: 0.8   | 0.3   | 0.2   | 0.1   | 0.2   | 0.3    | 0.8     | 1.8     | 0.9
HORIZONTE->Media 250-500µ: 0.2   | 0.1   | 0.1   | 0.1   | 0.1   | 0.1    | 0.1     | 0.1     | 0.1
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 1.8
HORIZONTE->Equiv.humedad: 29.0  | 29.2  | 26.5  | 35.2  | 38.4  | 37.7   | 34.8    | 31.1    | 39.8
HORIZONTE->Resist.pasta: 3417  | 4334  | 4589  | 1184  | 729   | 547    | 682     | 1174    | 1413
HORIZONTE->pH pasta (1:1): 5.6   | 5.6   | 5.9   | 6.8   | 7.1   | 7.4    | 7.4     | 7.3     | 7.9
HORIZONTE->pH agua (1:2,5): 5.7   | 5.7   | 6.1   | 7.4   | 7.8   | 8.0    | 8.1     | 8.0     | 8.6
HORIZONTE->pH 1N ClK (1:2,5): 5.5   | 5.4   | 5.6   | 5.8   | 6.4   | 6.5    | 6.5     | 6.3     | 6.9
HORIZONTE->Ca++ intercambio: 9.8   | 9.2   | 7.7   | 14.3  | 16.4  | 15.9   | 14.6    | 12.0    | 9.0
HORIZONTE->Mg++ intercambio: 2.6   | 1.8   | 1.0   | 2.5   | 3.2   | 4.2    | 4.0     | 4.3     | 5.1
HORIZONTE->Na+ intercambio: 0.3   | 0.7   | 1.0   | 3.9   | 4.6   | 5.1    | 5.1     | 4.1     | 3.6
HORIZONTE->K+ intercambio: 2.3   | 1.6   | 1.2   | 2.9   | 3.6   | 3.7    | 3.4     | 3.5     | 3.4
HORIZONTE->H+ intercambio: 5.1   | 5.1   | 3.1   | 3.1   | 1.6   | 1.6    | 1.7     | 0.5     | ---
HORIZONTE->(Na+/T): 1.6   | 4.1   | 6.5   | 14.6  | 15.6  | 17.6   | 18.6    | 17.4    | 17.6
HORIZONTE->C.I.C., (T): 18.9  | 17.1  | 15.3  | 26.8  | 29.5  | 28.9   | 27.4    | 23.6    | 20.4
HORIZONTE->Suma bases (S): 15.0  | 13.3  | 10.9  | 23.6  | 27.8  | 28.9   | 27.1    | 23.9    | 21.1
HORIZONTE->Sat.bases, (S/T): 79    | 78    | 71    | 88    | 94    | 100    | 99      | 101     | 103
