--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap    | a     | b     | bc    | c
HORIZONTE->Profundidad muestra: 0     | 13    | 29    | 58    | 120
HORIZONTE->Mat. orgánica: 4.17  | 3.05  | 0.83  | 0.36  | 0.16
HORIZONTE->C orgánico: 2.42  | 1.77  | 0.48  | 0.21  | 0.09
HORIZONTE->N total: 0.263 | 0.187 | 0.068 | 0.029 | ---
HORIZONTE->Relación C/N: 9     | 9     | 7     | 7     | ---
HORIZONTE->Arcilla < 2µ: 19.8  | 19.4  | 22.1  | 15.8  | 7.0
HORIZONTE->Limo 2-50µ: 48.4  | 49.0  | 39.6  | 41.1  | 54.1
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ: ---   | ---   | ---   | ---   | ---
HORIZONTE->Muy fina 50-100µ: 29.8  | 28.7  | 35.8  | 39.6  | 35.2
HORIZONTE->Fina 100-250µ: 2.0   | 2.9   | 2.5   | 3.5   | 3.7
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.00  | 0.00  | 0.00  | 0.00  | 0.10
HORIZONTE->Equiv.humedad: 28.1  | 26.9  | 26.6  | 21.7  | 17.5
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 5.3   | 5.5   | 5.7   | 6.2   | 8.4
HORIZONTE->pH agua (1:2,5): 5.5   | 5.7   | 6.2   | 6.5   | 8.7
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---   | ---   | ---   | ---
HORIZONTE->Ca++ intercambio: 13.4  | 12.5  | 9.1   | 7.6   | 5.0
HORIZONTE->Mg++ intercambio: 2.3   | 2.2   | 2.7   | 3.5   | 4.0
HORIZONTE->Na+ intercambio: 0.1   | 0.1   | 0.2   | 0.2   | 1.3
HORIZONTE->K+ intercambio: 2.1   | 1.7   | 1.7   | 1.4   | 2.5
HORIZONTE->H+ intercambio: 6.8   | 6.5   | 4.7   | 2.7   | 1.8
HORIZONTE->(Na+/T): 0.5   | 0.5   | 1.3   | 1.5   | 10.2
HORIZONTE->C.I.C., (T): 20.1  | 18.5  | 15.5  | 13.5  | 12.7
HORIZONTE->Suma bases (S): 17.9  | 16.5  | 13.7  | 12.7  | 12.8
HORIZONTE->Sat.bases, (S/T): 89    | 89    | 88    | 94    | 101
