--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | ba    | bt1   | bt2   | bc    | c     | ck
HORIZONTE->Profundidad muestra: 5     | 18    | 33    | 58    | 82    | 155   | 210
HORIZONTE->Mat. orgánica: 3.36  | 1.67  | 0.97  | 0.62  | 0.41  | 0.16  | 0.14
HORIZONTE->C orgánico: 1.95  | 0.97  | 0.56  | 0.36  | 0.24  | 0.09  | 0.08
HORIZONTE->N total: 0.194 | 0.113 | 0.074 | 0.054 | 0.040 | ---   | ---
HORIZONTE->Relación C/N: 10    | 9     | 8     | 7     | 6     | ---   | ---
HORIZONTE->Arcilla < 2µ: 22.5  | 27.0  | 29.3  | 28.4  | 21.8  | 14.1  | 9.2
HORIZONTE->Limo 2-50µ: 65.4  | 60.0  | 56.6  | 58.8  | 62.2  | 65.1  | 73.4
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ: ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Muy fina 50-100µ: 10.9  | 10.9  | 12.3  | 12.1  | 14.6  | 17.3  | 15.7
HORIZONTE->Fina 100-250µ: 1.2   | 2.1   | 1.8   | 0.7   | 1.4   | 3.5   | 1.7
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 4.0
HORIZONTE->Equiv.humedad: 27.7  | 27.6  | 26.3  | 26.4  | 23.5  | 20.7  | 20.7
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 5.5   | 5.7   | 6.0   | 6.1   | 6.2   | 6.9   | 7.7
HORIZONTE->pH agua (1:2,5): 5.8   | 6.0   | 6.3   | 6.5   | 6.5   | 7.4   | 8.3
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Ca++ intercambio: 13.2  | 11.2  | 10.8  | 11.2  | 10.6  | 10.9  | ---
HORIZONTE->Mg++ intercambio: 2.9   | 3.1   | 4.6   | 5.2   | 4.4   | 4.5   | ---
HORIZONTE->Na+ intercambio: 0.2   | 0.2   | 0.2   | 0.2   | 0.2   | 0.3   | 0.4
HORIZONTE->K+ intercambio: 2.1   | 2.0   | 2.4   | 2.5   | 2.5   | 2.0   | 2.4
HORIZONTE->H+ intercambio: 5.9   | 3.4   | 2.9   | 2.9   | 2.0   | 0.9   | ---
HORIZONTE->(Na+/T): 0.9   | 1.0   | 1.0   | 0.9   | 1.0   | 1.6   | 2.2
HORIZONTE->C.I.C., (T): 22.9  | 19.9  | 21.0  | 23.3  | 20.2  | 18.6  | 18.0
HORIZONTE->Suma bases (S): 18.4  | 16.5  | 18.0  | 19.1  | 17.7  | 17.7  | ---
HORIZONTE->Sat.bases, (S/T): 80    | 83    | 86    | 82    | 88    | 95    | ---
