--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | e     | bt    | bc    | ck
HORIZONTE->Profundidad: 0     | 19    | 38    | 61    | 87
HORIZONTE->muestra: 19    | 38    | 61    | 87    | ---
HORIZONTE->Mat. orgánica: 1.97  | 0.53  | 0.53  | 0.24  | 0.21
HORIZONTE->C orgánico: 1.14  | 0.31  | 0.31  | 0.14  | 0.12
HORIZONTE->N total: 0.111 | 0.038 | 0.038 | 0.024 | 0.019
HORIZONTE->Relación C/N: 10    | 8     | 8     | 6     | 6
HORIZONTE->Arcilla < 2µ: 7.2   | 3.4   | 14.6  | 7.4   | 6.6
HORIZONTE->Limo 2-50µ: 37.6  | 33.3  | 32.8  | 31.5  | 30.9
HORIZONTE->TOTAL: 98.6  | 98.2  | 98.4  | 98.7  | 99.4
HORIZONTE->Limo 2-20µ: ---   | ---   | ---   | ---   | ---
HORIZONTE->Muy fina 50-100µ: 52.6  | 60.5  | 47.0  | 54.2  | 54.0
HORIZONTE->Fina 100-250µ: 1.2   | 1.0   | 4.0   | 5.6   | 7.9
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.3   | 3.1
HORIZONTE->Equiv.humedad: 14.6  | 9.8   | 20.2  | 14.3  | 12.5
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 5.1   | 6.5   | 7.6   | 8.2   | 8.9
HORIZONTE->pH agua (1:2,5): 5.6   | 6.7   | 8.4   | 8.7   | 9.2
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---   | ---   | ---   | ---
HORIZONTE->Ca++ intercambio: 7.1   | 5.3   | 9.5   | ---   | ---
HORIZONTE->Mg++ intercambio: 1.9   | 2.4   | 2.5   | ---   | ---
HORIZONTE->Na+ intercambio: 0.3   | 0.7   | 6.4   | 9.0   | 9.0
HORIZONTE->K+ intercambio: 1.5   | 1.0   | 2.3   | 2.2   | 1.9
HORIZONTE->H+ intercambio: 3.2   | 1.3   | ---   | ---   | ---
HORIZONTE->(Na+/T): 2.1   | 6.7   | 31.7  | 48.9  | 78.3
HORIZONTE->C.I.C., (T): 14.2  | 10.4  | 20.2  | 18.4  | 11.5
HORIZONTE->Suma bases (S): 10.8  | 9.4   | 20.7  | ---   | ---
HORIZONTE->Sat.bases, (S/T): 76    | 90    | 102   | ---   | ---
