--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | be    | bt1   | bt2   | bt3   | bc    | c
HORIZONTE->Profundidad muestra: 0     | 23    | 32    | 67    | 90    | 120   | 156
HORIZONTE->Mat. orgánica: 2.98  | 1.50  | 1.33  | 0.45  | 0.40  | 0.29  | 0.21
HORIZONTE->C orgánico: 1.73  | 0.87  | 0.77  | 0.26  | 0.23  | 0.17  | 0.12
HORIZONTE->N total: 0.162 | 0.081 | 0.082 | 0.044 | 0.04  | 0.03  | 0.02
HORIZONTE->Relación C/N: 11    | 11    | 9     | 6     | 6     | 6     | 6
HORIZONTE->Arcilla < 2µ: 28.4  | 32.1  | 59.3  | 44.4  | 35.6  | 30.2  | 22.6
HORIZONTE->Limo 2-50µ: 68.2  | 64.3  | 38.5  | 52.3  | 59.2  | 62.7  | 69.0
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ: 39.3  | 37.5  | 20.8  | 31.3  | 38    | 37.6  | 40.2
HORIZONTE->Muy fina 50-100µ: 2.7   | 3.0   | 1.8   | 2.4   | 4.1   | 5.4   | 6.3
HORIZONTE->Fina 100-250µ: 0.6   | 0.5   | 0.3   | 0.5   | 1.0   | 1.7   | 2.0
HORIZONTE->Media 250-500µ: 0.1   | 0.1   | 0.1   | 0.4   | 0.1   | 0.0   | 0.1
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Equiv.humedad: ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 6.2   | 6.2   | 6.5   | 7.0   | 7.1   | 7.1   | 7.3
HORIZONTE->pH agua (1:2,5): 6.3   | 6.4   | 6.6   | 7.1   | 7.2   | 7.2   | 7.4
HORIZONTE->pH 1N ClK (1:2,5): 5.2   | 5.2   | 5.2   | 5.4   | 5.5   | 5.5   | 5.5
HORIZONTE->Ca++ intercambio: 10.2  | 8.9   | 18.0  | 16.6  | 14.7  | 13.8  | 11.6
HORIZONTE->Mg++ intercambio: 0.8   | 1.0   | 8.5   | 8.2   | 9.1   | 6.5   | 6.0
HORIZONTE->Na+ intercambio: 0.3   | 0.3   | 0.6   | 0.5   | 0.5   | 0.5   | 0.7
HORIZONTE->K+ intercambio: 1.4   | 1.2   | 1.9   | 2.1   | 2.2   | 2.0   | 1.8
HORIZONTE->H+ intercambio: 2.1   | 1.1   | 1.1   | 1.1   | 1.1   | 1.1   | 1.1
HORIZONTE->(Na+/T): 1.9   | 2.1   | 2.0   | 1.9   | 1.9   | 2.2   | 3.0
HORIZONTE->C.I.C., (T): 15.6  | 14.2  | 29.8  | 26.3  | 25.7  | 23.0  | 23.6
HORIZONTE->Suma bases (S): 12.7  | 11.4  | 29.0  | 27.4  | 26.5  | 22.8  | 20.1
HORIZONTE->Sat.bases, (S/T): 81    | 80    | 97    | 104   | 103   | 99    | 85
