--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap    | a     | be    | bt1   | bt2   | bc     | c       | ck
HORIZONTE->Profundidad muestra: 5-10  | 15-19 | 21-25 | 30-45 | 52-70 | 85-100 | 125-150 | 170-190
HORIZONTE->Mat. orgánica: 2.60  | 2.33  | 1.59  | 1.07  | 1.71  | 0.52   | 0.22    | 0.21
HORIZONTE->C orgánico: 1.51  | 1.35  | 0.92  | 0.62  | 0.99  | 0.30   | 0.13    | 0.12
HORIZONTE->N total: 0.155 | 0.141 | 0.101 | 0.085 | 0.064 | 0.059  | 0.035   | 0.032
HORIZONTE->Relación C/N: 10    | 10    | 9     | 7     | 15    | 5      | 4       | 4
HORIZONTE->Arcilla < 2µ: 22.2  | 22.7  | 24.0  | 39.2  | 39.3  | 37.3   | 24.5    | 20.6
HORIZONTE->Limo 2-50µ: 75.6  | 75.2  | 73.8  | 59.1  | 58.9  | 60.8   | 71.6    | 75.5
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0
HORIZONTE->Limo 2-20µ: 29.1  | 29.9  | 30    | 20.1  | 21.0  | 25.1   | 27.0    | 29.0
HORIZONTE->Muy fina 50-100µ: 2.0   | 1.8   | 1.8   | 1.6   | 1.7   | 1.8    | 3.1     | 3.1
HORIZONTE->Fina 100-250µ: 0.2   | 0.2   | 0.3   | 0.1   | 0.1   | 0.1    | 0.7     | 0.9
HORIZONTE->Media 250-500µ: 0.0   | 0.1   | 0.1   | 0.0   | 0.0   | 0.0    | 0.1     | 0.1
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 3.5
HORIZONTE->Equiv.humedad: 26.0  | 26.2  | 25.9  | 32.7  | 32.8  | 32.0   | 27.8    | 26.7
HORIZONTE->Resist.pasta: 4133  | 5375  | 4546  | 2189  | 1941  | 1662   | 1722    | 1620
HORIZONTE->pH pasta (1:1): 5.4   | 5.5   | 5.6   | 5.8   | 6.5   | 6.3    | 6.7     | 7.9
HORIZONTE->pH agua (1:2,5): 5.8   | 6.0   | 6.2   | 6.6   | 7.1   | 7.3    | 7.7     | 8.9
HORIZONTE->pH 1N ClK (1:2,5): 4.7   | 4.7   | 4.8   | 5.0   | 5.3   | 5.5    | 5.7     | 7.1
HORIZONTE->Ca++ intercambio: 9.0   | 9.9   | 9.9   | 16.0  | 16.5  | 19.6   | 11.8    | 10.3
HORIZONTE->Mg++ intercambio: 3.0   | 2.3   | 2.1   | 4.4   | 4.0   | 5.0    | 3.7     | 3.5
HORIZONTE->Na+ intercambio: 0.3   | 0.4   | 0.3   | 0.5   | 0.7   | 1.2    | 2.1     | 2.7
HORIZONTE->K+ intercambio: 1.8   | 1.8   | 1.7   | 2.5   | 2.5   | 2.7    | 2.6     | 3.1
HORIZONTE->H+ intercambio: 4.5   | 4.5   | 4.1   | 3.0   | 2.0   | 1.7    | 1.2     | ---
HORIZONTE->(Na+/T): 1.7   | 2.2   | 1.7   | 2.0   | 2.7   | 4.8    | 10.1    | 13.8
HORIZONTE->C.I.C., (T): 18.0  | 18.0  | 18.1  | 25.2  | 25.6  | 25.0   | 20.8    | 19.6
HORIZONTE->Suma bases (S): 14.1  | 14.4  | 14.0  | 23.4  | 23.7  | 28.5   | 20.2    | 19.6
HORIZONTE->Sat.bases, (S/T): 78    | 80    | 77    | 93    | 93    | 114    | 97      | 100
