--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: e1    | e2    | bt1   | bt2    | bc      | c
HORIZONTE->Profundidad muestra: 0-31  | 31-58 | 58-92 | 92-135 | 135-171 | 171-205
HORIZONTE->Mat. orgánica: 3.17  | 1.45  | 0.60  | 0.26   | 0.26    | 0.10
HORIZONTE->C orgánico: 1.84  | 0.84  | 0.35  | 0.15   | 0.15    | 0.06
HORIZONTE->N total: 0.127 | 0.061 | 0.046 | 0.032  | 0.03    | 0.03
HORIZONTE->Relación C/N: 14    | 14    | 8     | 5      | 5       | 2
HORIZONTE->Arcilla < 2µ: 34.5  | 34.1  | 44.3  | 52.6   | 43.6    | 45.5
HORIZONTE->Limo 2-50µ: 62.9  | 62.9  | 53.5  | 45.7   | 53.8    | 51.8
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0
HORIZONTE->Limo 2-20µ: 43.9  | 43    | 34.2  | 31.6   | 35.2    | 32.8
HORIZONTE->Muy fina 50-100µ: 2.0   | 2.4   | 1.7   | 1.3    | 1.9     | 1.9
HORIZONTE->Fina 100-250µ: 0.6   | 0.6   | 0.5   | 0.4    | 0.7     | 0.8
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Equiv.humedad: ---   | ---   | ---   | ---    | ---     | ---
HORIZONTE->Resist.pasta: 1386  | 1253  | 612   | 684    | 1290    | 1124
HORIZONTE->pH pasta (1:1): 5.8   | 5.8   | 6.2   | 6.3    | 6.3     | 6.2
HORIZONTE->pH agua (1:2,5): 6.0   | 6.0   | 6.4   | 6.7    | 6.6     | 6.6
HORIZONTE->pH 1N ClK (1:2,5): 5.0   | 4.9   | 5.1   | 5.2    | 5.0     | 5.1
HORIZONTE->Ca++ intercambio: 13.4  | 12.2  | 13.8  | 21.5   | 18.1    | 17.3
HORIZONTE->Mg++ intercambio: 1.0   | 0.8   | 0.8   | 1.0    | 4.3     | 5.3
HORIZONTE->Na+ intercambio: 1.6   | 1.7   | 1.9   | 2.5    | 2.0     | 1.9
HORIZONTE->K+ intercambio: 1.2   | 1.0   | 1.9   | 2.1    | 2.0     | 2.0
HORIZONTE->H+ intercambio: 3.4   | 3.4   | 2.6   | 2.7    | 3.5     | 3.5
HORIZONTE->(Na+/T): 7.5   | 8.5   | 8.4   | 8.4    | 7.0     | 6.6
HORIZONTE->C.I.C., (T): 21.2  | 20.1  | 22.5  | 29.6   | 28.5    | 28.6
HORIZONTE->Suma bases (S): 17.2  | 15.7  | 18.4  | 27.1   | 26.4    | 26.5
HORIZONTE->Sat.bases, (S/T): 81    | 78    | 82    | 92     | 93      | 93
