--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | bt1   | bt2   | bt3    | bc
HORIZONTE->Profundidad muestra: 0-13  | 13-47 | 47-70 | 70-105 | +      105
HORIZONTE->Mat. orgánica: 4.53  | 0.98  | 0.55  | 0.50   | 0.22
HORIZONTE->C orgánico: 2.63  | 0.57  | 0.32  | 0.29   | 0.13
HORIZONTE->N total: 0.167 | 0.078 | 0.054 | 0.050  | 0.037
HORIZONTE->Relación C/N: 16    | 7     | 6     | 6      | 4
HORIZONTE->Arcilla < 2µ: 22.4  | 35.2  | 29.4  | ---    | ---
HORIZONTE->Limo 2-50µ: 70.0  | 62.1  | 66.4  | ---    | ---
HORIZONTE->TOTAL: 100.0 | 99.8  | 99.2  | ---    | ---
HORIZONTE->Limo 2-20µ: ---   | ---   | ---   | ---    | ---
HORIZONTE->Muy fina 50-100µ: 6.2   | 2.2   | 2.9   | ---    | ---
HORIZONTE->Fina 100-250µ: 1.4   | 0.3   | 0.5   | ---    | ---
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | ---    | ---
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | ---    | ---
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | ---    | ---
HORIZONTE->Calcáreo, CaCO3: 0.00  | 0.00  | 2.35  | 3.29   | 1.85
HORIZONTE->Equiv.humedad: 35.0  | 45.0  | 39.8  | 46.7   | 47.8
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---    | ---
HORIZONTE->pH pasta (1:1): 7.0   | 7.3   | 7.6   | 7.7    | 7.8
HORIZONTE->pH agua (1:2,5): 7.5   | 7.7   | 8.0   | 8.0    | 8.1
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---   | ---   | ---    | ---
HORIZONTE->Ca++ intercambio: 13.6  | ---   | ---   | ---    | ---
HORIZONTE->Mg++ intercambio: 3.1   | ---   | ---   | ---    | ---
HORIZONTE->Na+ intercambio: 3.1   | ---   | ---   | ---    | ---
HORIZONTE->K+ intercambio: 2.2   | ---   | ---   | ---    | ---
HORIZONTE->H+ intercambio: 0.8   | ---   | ---   | ---    | ---
HORIZONTE->(Na+/T): 13.6  | ---   | ---   | ---    | ---
HORIZONTE->C.I.C., (T): 22.8  | 28.0  | 23.0  | 27.0   | 27.9
HORIZONTE->Suma bases (S): 22.0  | ---   | ---   | ---    | ---
HORIZONTE->Sat.bases, (S/T): 96    | ---   | ---   | ---    | ---
HORIZONTE->Comp. Extr. Sat.:       | -     | -     | -      |
HORIZONTE->Ca++: 9.7   | 25.9  | 27.5  | 28.5   | 25.0
HORIZONTE->Mg++: 12.8  | 26.7  | 27.5  | 23.7   | 20.5
HORIZONTE->Na+: 45.0  | 170.0 | 200.0 | 200.0  | 182.0
HORIZONTE->K+: 2.0   | 3.2   | 2.8   | 2.2    | 2.9
HORIZONTE->CO3-: 9.2   | 3.0   | 2.2   | 2.2    | 1.5
HORIZONTE->SO4=: 49.3  | 160.0 | 187.0 | 182.0  | 176.0
HORIZONTE->Cl-: 12.0  | 64.0  | 66.6  | 68.8   | 52.8
HORIZONTE->RAS: 13    | 33    | 38    | 39     | 38
