--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a1    | eb    | bt1   | bt2   | bc
HORIZONTE->Profundidad muestra: 0     | 17    | 25    | 53    | 87
HORIZONTE->Mat. orgánica: 3.40  | 1.59  | 1.00  | 0.45  | 0.24
HORIZONTE->C orgánico: 1.97  | 0.92  | 0.58  | 0.26  | 0.14
HORIZONTE->N total: 0.151 | 0.078 | 0.075 | 0.050 | 0.040
HORIZONTE->Relación C/N: 13    | 12    | 8     | 5     | 4
HORIZONTE->Arcilla < 2µ: 33.4  | 35.8  | 44.6  | 54.2  | 53.3
HORIZONTE->Limo 2-50µ: 64.7  | 61.3  | 53.7  | 45.0  | 45.7
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ: 41.2  | 40.1  | 38.2  | 29.3  | 32.1
HORIZONTE->Muy fina 50-100µ: 1.7   | 2.2   | 1.6   | 0.7   | 0.8
HORIZONTE->Fina 100-250µ: 0.2   | 0.7   | 0.1   | 0.1   | 0.2
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.00  | 0.00  | 0.00  | vest. | vest.
HORIZONTE->Equiv.humedad: ---   | ---   | ---   | ---   | ---
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 5.7   | 7.0   | 7.8   | 8.3   | 8.4
HORIZONTE->pH agua (1:2,5): 5.9   | 7.3   | 8.1   | 8.7   | 8.8
HORIZONTE->pH 1N ClK (1:2,5): 5.3   | 6.2   | 6.7   | 7.1   | 7.1
HORIZONTE->Ca++ intercambio: 10.8  | 7.0   | 14.2  | 9.8   | 9.7
HORIZONTE->Mg++ intercambio: 2.6   | 1.3   | 2.6   | 2.2   | 2.0
HORIZONTE->Na+ intercambio: 2.4   | 2.6   | 4.8   | 5.8   | 5.9
HORIZONTE->K+ intercambio: 0.9   | 0.6   | 1.5   | 0.9   | 1.2
HORIZONTE->H+ intercambio: 3.7   | 1.8   | 0.0   | 0.0   | 0.0
HORIZONTE->(Na+/T): 11.7  | 18.1  | 21.5  | 29.3  | 29.5
HORIZONTE->C.I.C., (T): 20.6  | 14.4  | 22.3  | 19.8  | 20.0
HORIZONTE->Suma bases (S): 16.7  | 11.5  | 23.1  | 18.7  | 18.8
HORIZONTE->Sat.bases, (S/T): 81    | 80    | 104   | 94    | 94
