--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap    | a     | e     | bt1   | bt2   | bt3   | bc     | c       | ck
HORIZONTE->Profundidad muestra: 5-12  | 16-18 | 20-24 | 30-40 | 45-57 | 65-75 | 85-105 | 115-145 | 160-180
HORIZONTE->Mat. orgánica: 2.84  | 2.78  | 1.52  | 1.17  | 1.05  | 0.83  | 0.57   | 0.33    | 0.24
HORIZONTE->C orgánico: 1.65  | 1.61  | 0.88  | 0.68  | 0.61  | 0.48  | 0.33   | 0.19    | 0.14
HORIZONTE->N total: 0.158 | 0.150 | 0.077 | 0.079 | 0.073 | 0.061 | 0.051  | 0.035   | 0.030
HORIZONTE->Relación C/N: 10    | 11    | 11    | 9     | 8     | 8     | 6      | 5       | 5
HORIZONTE->Arcilla < 2µ: 23.2  | 23.0  | 21.5  | 39.3  | 39.9  | 39.7  | 30.0   | 26.3    | 19.1
HORIZONTE->Limo 2-50µ: 75.6  | 75.6  | 77.3  | 59.6  | 59.1  | 58.8  | 67.5   | 70.9    | 77.5
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0
HORIZONTE->Limo 2-20µ: 29.0  | 30.1  | 31.5  | 22.1  | 22.9  | 21.9  | 28.3   | 28.7    | 32.0
HORIZONTE->Muy fina 50-100µ: 1.1   | 1.2   | 1.1   | 1.0   | 0.9   | 1.2   | 2.1    | 2.4     | 2.9
HORIZONTE->Fina 100-250µ: 0.1   | 0.2   | 0.1   | 0.1   | 0.1   | 0.2   | 0.3    | 0.3     | 0.4
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.1   | 0.1    | 0.1     | 0.1
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 5.1
HORIZONTE->Equiv.humedad: 29.1  | 28.9  | 27.8  | 35.0  | 35.6  | 34.9  | 34.3   | 30.3    | 26.1
HORIZONTE->Resist.pasta: 2628  | 3858  | 3732  | 2288  | 2078  | 2070  | 2036   | 2127    | 1581
HORIZONTE->pH pasta (1:1): 5.4   | 5.5   | 5.7   | 6.1   | 6.2   | 6.2   | 6.5    | 6.9     | 7.7
HORIZONTE->pH agua (1:2,5): 5.6   | 5.6   | 5.8   | 6.3   | 6.5   | 6.5   | 7.1    | 7.1     | 8.4
HORIZONTE->pH 1N ClK (1:2,5): 5.1   | 5.1   | 5.3   | 5.3   | 5.3   | 5.5   | 5.6    | 5.5     | 7.0
HORIZONTE->Ca++ intercambio: 10.4  | 9.9   | 9.1   | 16.5  | 17.8  | 16.8  | 14.9   | 12.0    | 8.8
HORIZONTE->Mg++ intercambio: 2.1   | 2.3   | 1.9   | 3.0   | 3.6   | 3.5   | 4.5    | 4.3     | 5.2
HORIZONTE->Na+ intercambio: 0.3   | 0.2   | 0.3   | 0.6   | 0.4   | 1.2   | 1.7    | 2.2     | 2.7
HORIZONTE->K+ intercambio: 2.0   | 1.8   | 1.3   | 2.3   | 2.8   | 2.1   | 2.6    | 3.0     | 3.1
HORIZONTE->H+ intercambio: 4.2   | 4.2   | 2.8   | 2.8   | 2.9   | 1.8   | 1.3    | 1.3     | ---
HORIZONTE->(Na+/T): 1.6   | 1.1   | 1.9   | 2.4   | 1.5   | 4.7   | 6.8    | 9.7     | 13.6
HORIZONTE->C.I.C., (T): 18.2  | 17.7  | 16.0  | 24.5  | 26.9  | 25.6  | 24.9   | 22.7    | 19.8
HORIZONTE->Suma bases (S): 14.8  | 14.2  | 12.6  | 22.4  | 24.6  | 23.6  | 23.7   | 21.5    | 19.8
HORIZONTE->Sat.bases, (S/T): 81    | 80    | 79    | 91    | 91    | 92    | 95     | 95      | 100
