--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | e     | bt1   | bt2   | bt3    | bc      | c       | ck
HORIZONTE->Profundidad muestra: 0-15  | 15-22 | 22-53 | 53-83 | 83-120 | 120-159 | 159-200 | 200-300
HORIZONTE->Mat. orgánica: 2.05  | 1.72  | 1.38  | 0.41  | vest.  | vest.   | vest.   | vest.
HORIZONTE->C orgánico: 1.19  | 1.00  | 0.80  | 0.24  | vest.  | vest.   | vest.   | vest.
HORIZONTE->N total: 0.108 | 0.107 | 0.109 | 0.055 | 0.047  | 0.036   | 0.036   | 0.037
HORIZONTE->Relación C/N: 11    | 9     | 7     | 4     | ---    | ---     | ---     | ---
HORIZONTE->Arcilla < 2µ: 22.4  | 28.2  | 60.2  | 51.9  | 38.3   | 24.9    | 26.0    | ---
HORIZONTE->Limo 2-50µ: 72.1  | 66.9  | 37.6  | 43.6  | 56.6   | 67.6    | 66.9    | ---
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0   | ---
HORIZONTE->Limo 2-20µ: 37.6  | 37.5  | 22.2  | 25.8  | 34.4   | 42      | 41.2    |
HORIZONTE->Muy fina 50-100µ: 3.9   | 3.6   | 2.0   | 2.1   | 3.4    | 5.2     | 4.9     | ---
HORIZONTE->Fina 100-250µ: 1.6   | 1.3   | 0.2   | 2.4   | 1.7    | 2.3     | 2.2     | ---
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | ---
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | ---
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | ---
HORIZONTE->Calcáreo, CaCO3: ---   | ---   | ---   | ---   | ---    | ---     | ---     | ---
HORIZONTE->Equiv.humedad: ---   | ---   | ---   | ---   | ---    | ---     | ---     | ---
HORIZONTE->Resist.pasta: 6620  | 7222  | 1244  | 963   | 1043   | 1284    | 1244    | 1123
HORIZONTE->pH pasta (1:1): 5.6   | 5.8   | 6.9   | 7.5   | 7.7    | 7.8     | 8.3     | 8.4
HORIZONTE->pH agua (1:2,5): 5.7   | 6.2   | 7.5   | 8.2   | 8.6    | 8.4     | 8.8     | 9.0
HORIZONTE->pH 1N ClK (1:2,5): 5.0   | 5.0   | 5.9   | 7.0   | 6.9    | 6.4     | 6.8     | 7.0
HORIZONTE->Ca++ intercambio: 4.1   | 4.3   | 11.3  | 11.0  | 8.4    | 6.6     | 7.3     | 10.6
HORIZONTE->Mg++ intercambio: 3.7   | 2.8   | 4.7   | 4.0   | 5.2    | 3.9     | 4.1     | 3.0
HORIZONTE->Na+ intercambio: 0.7   | 1.0   | 3.4   | 3.1   | 4.0    | 3.9     | 4.8     | 5.3
HORIZONTE->K+ intercambio: 1.8   | 1.3   | 3.2   | 3.7   | 3.7    | 3.1     | 2.5     | 2.7
HORIZONTE->H+ intercambio: 3.0   | 2.5   | ---   | ---   | ---    | ---     | ---     | ---
HORIZONTE->(Na+/T): 6.1   | 9.5   | 15.3  | 13.5  | 17.8   | 19.6    | 23.3    | 24.1
HORIZONTE->C.I.C., (T): 11.5  | 10.5  | 22.2  | 23.0  | 22.5   | 19.9    | 20.6    | 22.0
HORIZONTE->Suma bases (S): 10.3  | 9.4   | 22.6  | 21.8  | 21.3   | 17.5    | 18.7    | 21.6
HORIZONTE->Sat.bases, (S/T): 90    | 90    | 102   | 95    | 95     | 88      | 91      | 98
