HORIZONTE|A1|A2|B2t|B3
Profundidad de la muestra (cm)|0-12|12-24|24-51|51 a +
Materia Orgánica (%)|1,79|0,93|0,59|0,33
Carbono Orgánico (%)|1,04|0,54|0,34|0,19
Nitrógeno total (%)|130|73|43| 
Relación C/N|8,0|7,4|7,9| 
Arcilla, 2 u (%)|11,8|11,6|21,2|13,1
Limo, 2-50 u (%)|42,3|36,8|27,4|32,3
Arena muy fina, 50-100 u (%)|33,1|28,4|35,2|32,7
Arena fina, 100-250 u (%)|13,6|24,0|16,4|22,3
Arena media, 250-500 u (%)|0,2|0,2|0,3|0,3
Arena gruesa, 500-1000 u (%)|0,2|0,2|0,3|0,5
Arena muy gruesa, 1-2 mm (%)| | | | 
Calcáreo, CaCO3 (%)|0,0|0,0|0,0|0,54
pH en pasta|7,1|7,3|7,3|8,5
pH en agua 1:2,5|7,2|7,4|7,6|2,2
Cationes de intercambio (me/100 gr): Ca ++|5,2|5,6|5,5| 
Cationes de intercambio (me/100 gr): Mg ++|4,2|3,4|6.7| 
Cationes de intercambio (me/100 gr): Na +|0,3|0,4|1,4| 
Cationes de intercambio (me/100 gr): K +|2,4|1,3|2,1| 
Cationes de intercambio (me/100 gr): H  +| | | | 
Suma de bases, me/100 gr (S)|12,1|10,7|15,7| 
Capacidad de intercambio catiónico, me/100 gr (T)|13,5|10,9|15,7|11,3
Saturación con bases, % (S/T)|97|98|100| 
Comp.ext.sat. m.e./1: Ca++| | | |6,72
Comp.ext.sat. m.e./1: Mg++| | | |4,16
Comp.ext.sat. m.e./1: Na+| | | |89,0
Comp.ext.sat. m.e./1: K+| | | |1,20
Comp.ext.sat. m.e./1: HCO3-| | | |6,40
Comp.ext.sat. m.e./1: SO4-| | | |40,96
Comp.ext.sat. m.e./1: Cl-| | | |64,64
