HORIZONTE|A1|B|Cca
Profundidad de la muestra (cm)|0-20|20-38|38 a +
Materia Orgánica (%)|1,79|0,89| 
Carbono Orgánico (%)|0,98|0,52| 
Nitrógeno total (%)|95|73| 
Relación C/N|10,3|7,1| 
Arcilla, 2 u (%)|19,8|20,8|16,7
Limo, 2-50 u (%)|36,9|37,3|37,9
Arena muy fina, 50-100 u (%)|18,1|18,6|19,3
Arena fina, 100-250 u (%)|23,4|23,3|25,5
Arena media, 250-500 u (%)|1,1|0,9|1,2
Arena gruesa, 500-1000 u (%)|1,1|1,0|1,0
Arena muy gruesa, 1-2 mm (%)| | | 
Calcáreo, CaCO3 (%)|0,0|0,0|4,27
Equivalente de humedad (%)|22,8|21,2|20,2
pH en pasta|6,1|6,8|7,7
pH en agua 1:2,5|5,4|6,0|6,9
Cationes de intercambio (me/100 gr): Ca ++|14,1|17,7| 
Cationes de intercambio (me/100 gr): Mg ++|1,1|0,7| 
Cationes de intercambio (me/100 gr): Na +|0,1|0,1|0,3
Cationes de intercambio (me/100 gr): K +|2,0|1,5|1,2
Cationes de intercambio (me/100 gr): H +| | | 
Suma de bases, me/100 gr (S)|17,0|20,0| 
Capacidad de intercambio catiónica me/100 gr (T)|18,7|20,6|16,5
Saturación con bases, % (S/T)|92|97| 
