--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a|ac|iia|iiac|iic|iicca
HORIZONTE->Profundidad de la muestra (cm): 0-18|18-60|60-83|83-110|110-168|168 a +
HORIZONTE->Materia Orgánica (%): 4.3|1.4||||
HORIZONTE->Carbono Orgánico (%): 2.5|0.8||||
HORIZONTE->Nitrógeno total (%): 0.33|||||
HORIZONTE->Relación C/N: 7.6|||||
HORIZONTE->Arcilla ( < 2 µ ) (%): 18.6|17.9|22.4|16.0|11.9|11.3
HORIZONTE->Limo (2-50µ) (%): 60.9|59.8|60.0|63.5|62.4|64.4
HORIZONTE->Arena muy fina (50-100µ) (%): 12.2|21.5|11.9|18.8|19.1|21.0
HORIZONTE->Arena fina (100-250µ) (%): 3.6|2.0|3.2|2.1|4.4|3.3
HORIZONTE->Arena media (250-500µ) (%): 0.8|0.1|0.8|0.4|0.5|0.3
HORIZONTE->Arena gruesa (500-1000µ) (%): 2.3|0.2|1.7|0.4|0.7|0.4
HORIZONTE->Arena muy gruesa (1000-2000µ) (%): 0.2|0|0.4|0.1|0.1|0.2
HORIZONTE->CaCO 3 (%): 0|0|0|0|0|3.5
HORIZONTE->Equivalente de humedad (%): 19.4|23.1|17.4|20.5|18.9|18.0
HORIZONTE->pH en pasta: 7.7|7.9|6.8|7.2|7.2|7.9
HORIZONTE->Cationes de cambio (me/100 gr-Ca ++: 11.1|17.0|18.5|10.8|10.8|
HORIZONTE->Cationes de cambio (me/100 gr-Mg ++: 1.2|1.1|1.8|1.7|1.7|
HORIZONTE->Cationes de cambio (me/100 gr-Na +: 0.7|0.3|0.3|0.3|0.3|0.4
HORIZONTE->Cationes de cambio (me/100 gr-K +: 2.4|1.7|1.8|1.3|1.3|1.4
HORIZONTE->H ++: ||0.4|||
HORIZONTE->Na+ (% del valor T): |||||
HORIZONTE->Suma de bases, me/100 gr (S): 15.4|20.1|22.4|14.1|14.1|
HORIZONTE->Capacidad de intercambio catiónico me/100 gr (T): 15.4|20.1|22.8|14.1|14.1|14.0
HORIZONTE->Saturación con bases, % (S/T): 100|100|98.8|100|100|100
