--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: i|ii|iii|iv|v|vi
HORIZONTE->Profundidad de la muestra (cm): 0-32|32-55|55-82|82-104|104-124|124 a +
HORIZONTE->Materia Orgánica (%): 1.9|1.6|2.2|||
HORIZONTE->Carbono Orgánico (%): 1.1|1.1||||
HORIZONTE->Nitrógeno total (%): 0.11|||||
HORIZONTE->Relación C/N: 10.0|||||
HORIZONTE->Arcilla ( < 2 µ ) (%): 18.9|22.6|22.4|14.2|17.4|12.5
HORIZONTE->Limo (2-50µ) (%): 64.9|59.4|49.9|46.0|47.7|43.8
HORIZONTE->Arena muy fina (50-100µ) (%): 13.5|16.1|12.0|22.5|20.4|26.5
HORIZONTE->Arena fina (100-250µ) (%): 1.9|1.7|7.4|9.2|8.8|9.2
HORIZONTE->Arena media (250-500µ) (%): 0.3|0.5|1.6|1.7|1.9|2.2
HORIZONTE->Arena gruesa (500-1000µ) (%): 0.5|0.9|3.2|3.8|3.9|4.2
HORIZONTE->Arena muy gruesa (1000-2000µ) (%): 0.1|0.3|0.9|1.8|1.8|2.2
HORIZONTE->CaCO 3 (%): 0|0|0|0|0|1.4
HORIZONTE->Equivalente de humedad (%): 24.0|24.1|23.0|16.8|17.1|15.1
HORIZONTE->pH en pasta: 6.2|6.3|6.4|6.7|6.7|7.9
HORIZONTE->pH en agua (1:2,5): 6.6|6.7|6.9|7.1|7.1|8.0
HORIZONTE->Cationes de cambio (me/100 gr)-Ca ++: 10.7|12.5|11.9|12.0|11.7| 
HORIZONTE->Cationes de cambio (me/100 gr)-Mg ++: 1.2|1.1|1.0|1.1|1.0|
HORIZONTE->Cationes de cambio (me/100 gr)-Na +: 1.1|1.4|1.8|1.1|1.3|0.3
HORIZONTE->Cationes de cambio (me/100 gr)-K +: 1.0|1.0|0.8|1.1|1.4|1.0
HORIZONTE->Cationes de cambio (me/100 gr)-H ++: 1.0|0.7|0.5|0.4|0.3|
HORIZONTE->Na+ (% del valor T): |||||
HORIZONTE->Suma de bases, me/100 gr (S): 14.0|16.0|15.5|15.3|15.4|
HORIZONTE->Capacidad de intercambio catiónico me/100 gr (T): 15.0|16.7|15.7|15.7|15.7|15.0
HORIZONTE->Saturación con bases, % (S/T): 93.3|95.8|97.5|97.5|98.1|100
