--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a|r
HORIZONTE->Profundidad de la muestra (cm): 0-10|10 a +
HORIZONTE->Materia Orgánica (%): 3.8|
HORIZONTE->Carbono Orgánico (%): 2.2|
HORIZONTE->Nitrógeno total (%): 0.21|
HORIZONTE->Relación C/N: 10.5|
HORIZONTE->Arcilla ( < 2 µ ) (%): 6.7|
HORIZONTE->Limo (2-50µ) (%): 37.5|
HORIZONTE->Arena muy fina (50-100µ) (%): 8.6|
HORIZONTE->Arena fina (100-250µ) (%): 11.1|
HORIZONTE->Arena media (250-500µ) (%): 10.0|
HORIZONTE->Arena gruesa (500-1000µ) (%): 13.8|
HORIZONTE->Arena muy gruesa (1000-2000µ) (%): 10.8|
HORIZONTE->CaCO 3 (%): 0|
HORIZONTE->Equivalente de humedad (%): 24.4|
HORIZONTE->pH en pasta: 6.5|
HORIZONTE->pH en agua (1:2,5): 6.8|
HORIZONTE->Cationes de cambio (me/100 gr-Ca ++: 11.6|
HORIZONTE->Cationes de cambio (me/100 gr-Mg ++: 1.2|
HORIZONTE->Cationes de cambio (me/100 gr-Na +: 0.4|
HORIZONTE->Cationes de cambio (me/100 gr-K +: 1.1|
HORIZONTE->H ++: 0.8|
HORIZONTE->Na + (% del valor T): |
HORIZONTE->Suma de bases, me/100 gr (S): 14.3|
HORIZONTE->Capacidad de intercambio catiónico me/100 gr (T): 15.1|
HORIZONTE->Saturación con bases, % (S/T): 94.7|
