HORIZONTE->NOMBRE(S)........ :  a | ac | c
HORIZONTE->Profundidad de la muestra (cm) :  0-26 | 26-53 | 53a+
HORIZONTE->Materia Orgánica (%) :  1,6 | 0,7 | ---
HORIZONTE->Carbono Orgánico (%) :  0,9 | 0,4 | ---
HORIZONTE->Nitrógeno total (%) :  0,08 | --- | ---
HORIZONTE->Relación C/N :  11,3 | --- | ---
HORIZONTE->Arcilla, <2 μ (%) :  9,4 | 9 | 6,4
HORIZONTE->Limo, 2-50 μ (%) :  22,2 | 20,6 | 20,3
HORIZONTE->Arena muy fina, 50-100 μ (%) :  65 | 65 | 68,5
HORIZONTE->Arena fina, 100-250 μ (%) :  3 | 4,5 | 4
HORIZONTE->Arena media, 250-500 μ (%) :  0,5 | 0,5 | 0,5
HORIZONTE->Arena gruesa, 500-1000 μ (%) :  0 | 0 | 0,5
HORIZONTE->Arena muy gruesa, 1-2 mm (%) :  0 | 0 | 0
HORIZONTE->Carbonatos (% CaCO3) :  0 | 0 | 0
HORIZONTE->Equivalente de humedad (%) :  12,2 | 11,1 | 9,4
HORIZONTE->pH en pasta :  6 | 6,7 | 7,3
HORIZONTE->pH en agua (1:2,5) :  6,4 | 6,9 | 7,6
HORIZONTE->Mg++ :  0,8 | 1,5 | 1,6
HORIZONTE->Na+ :  0,2 | 0,1 | 0,1
HORIZONTE->K+ :  1,7 | 1,2 | 0,7
HORIZONTE->H+ :  0,9 | 0,3 | ---
HORIZONTE->Suma de bases, S (meq/100g) :  8,8 | 9,3 | 9,4
HORIZONTE->Capacidad de intercambio catiónico, T (meq/100g) :  9,8 | 9,6 | 9,4
HORIZONTE->Porcentaje de sodio de intercambio (P.S.I.) :  2 | 1 | 1,1
HORIZONTE->Saturación con bases, S/T (%) :  89,8 | 96,9 | 100
