HORIZONTE->NOMBRE(S)........ :  a | ac | c
HORIZONTE->Profundidad de la muestra (cm) :  0-17 | 17-45 | 45a+
HORIZONTE->Materia Orgánica (%) :  1,55 | 0,86 | ---
HORIZONTE->Carbono Orgánico (%) :  0,9 | 0,5 | ---
HORIZONTE->Nitrógeno total (%) :  0,109 | 0,062 | ---
HORIZONTE->Relación C/N :  8,2 | 8 | ---
HORIZONTE->Arcilla, <2 µ (%) :  10 | 9,8 | 8,8
HORIZONTE->Limo, 2-50 µ (%) :  25,5 | 23,3 | 21,7
HORIZONTE->Arena muy fina, 50-100 µ (%) :  29,8 | 35,7 | 37,5
HORIZONTE->Arena fina, 100-250 µ (%) :  32,5 | 29,3 | 29,4
HORIZONTE->Arena media, 250-500 µ (%) :  1,8 | 1,4 | 1,3
HORIZONTE->Arena gruesa, 500-1000 µ (%) :  1,2 | 1 | 1
HORIZONTE->Arena muy gruesa, 1-2 mm (%) :  0,1 | 0 | 0
HORIZONTE->Carbonatos (% CaCO3) :  0 | 0 | 0,08
HORIZONTE->Equivalente de humedad (%) :  12,8 | 11,5 | 10,8
HORIZONTE->pH en pasta :  5,7 | 6,7 | 7,1
HORIZONTE->pH en agua (1:2,5) :  6,1 | 6,9 | 7,3
HORIZONTE->Mg++ :  0,9 | 0,6 | ---
HORIZONTE->Na+ :  0,3 | 0,1 | 0,3
HORIZONTE->K+ :  1,9 | 1,5 | 0,8
HORIZONTE->H+ :  0,9 | 0,7 | 0,3
HORIZONTE->Suma de bases, S (meq/100g) :  10,8 | 9,7 | ---
HORIZONTE->Capacidad de intercambio catiónico, T (meq/100g) :  11,9 | 10,5 | 9,2
HORIZONTE->Porcentaje de sodio de intercambio (P.S.I.) :  2,5 | 1 | 3,3
HORIZONTE->Saturación con bases, S/T (%) :  92,4 | 93,3 | 96,7
