HORIZONTE->NOMBRE(S)........ :  a | e | btn | bc | ck
HORIZONTE->Profundidad de la muestra (cm) :  0-19 | 19-38 | 38-61 | 61-87 | 87a+
HORIZONTE->Materia Orgánica (%) :  1,96 | 0,53 | 0,53 | 0,24 | 0,21
HORIZONTE->Carbono Orgánico (%) :  1,14 | 0,31 | 0,31 | 0,14 | 0,12
HORIZONTE->Nitrógeno total (%) :  0,111 | 0,038 | 0,038 | 0,024 | 0,019
HORIZONTE->Relación C/N :  10,3 | 8,1 | 8,1 | 5,8 | 6,3
HORIZONTE->Arcilla, <2 μ (%) :  7,2 | 3,4 | 14,6 | 7,4 | 6,6
HORIZONTE->Limo, 2-50 μ (%) :  37,6 | 33,3 | 32,8 | 31,5 | 30,9
HORIZONTE->Arena muy fina, 50-100 μ (%) :  52,6 | 60,5 | 47 | 54,2 | 54
HORIZONTE->Arena fina, 100-250 μ (%) :  1,2 | 1 | 4 | 5,6 | 7,9
HORIZONTE->Arena media, 250-500 μ (%) :  0 | 0 | 0 | 0 | 0
HORIZONTE->Arena gruesa, 500-1000 μ (%) :  0 | 0 | 0 | 0 | 0
HORIZONTE->Arena muy gruesa, 1-2 mm (%) :  0 | 0 | 0 | 0 | 0
HORIZONTE->Carbonatos (% CaCO3) :  0 | 0 | 0 | 0,325 | 3,14
HORIZONTE->Equivalente de humedad (%) :  14,6 | 9,8 | 20,2 | 14,3 | 12,5
HORIZONTE->pH en pasta :  5,1 | 6,5 | 7,6 | 8,2 | 8,9
HORIZONTE->pH en agua (1:2,5) :  5,6 | 6,7 | 8,4 | 8,7 | 9,2
HORIZONTE->Mg++ :  1,9 | 2,4 | 2,5 | --- | ---
HORIZONTE->Na+ :  0,3 | 0,7 | 6,4 | 9 | 9
HORIZONTE->K+ :  1,5 | 1 | 2,3 | 2,2 | 1,9
HORIZONTE->H+ :  3,2 | 1,3 | --- | --- | ---
HORIZONTE->Suma de bases, S (meq/100g) :  10,8 | 9,4 | 20,6 | --- | ---
HORIZONTE->Capacidad de intercambio catiónico, T (meq/100g) :  14,2 | 10,4 | 20,2 | 18,4 | 11,5
HORIZONTE->Porcentaje de sodio de intercambio (P.S.I.) :  2,1 | 7,4 | 31,7 | 49,9 | 78,3
HORIZONTE->Saturación con bases, S/T (%) :  76,1 | 90,4 | 100 | 100 | 100
