HORIZONTE->NOMBRE(S)........ :  a | ac | c
HORIZONTE->Profundidad de la muestra (cm) :  0-21 | 21-43 | 43a+
HORIZONTE->Materia Orgánica (%) :  1,26 | 0,86 | ---
HORIZONTE->Carbono Orgánico (%) :  0,73 | 0,5 | ---
HORIZONTE->Nitrógeno total (%) :  0,085 | 0,054 | ---
HORIZONTE->Relación C/N :  8,6 | 9,2 | ---
HORIZONTE->Arcilla, <2 μ (%) :  6,9 | 6,5 | 5,7
HORIZONTE->Limo, 2-50 μ (%) :  16,5 | 15,3 | 16,1
HORIZONTE->Arena muy fina, 50-100 μ (%) :  36,3 | 40,8 | 40,6
HORIZONTE->Arena fina, 100-250 μ (%) :  37,4 | 34,5 | 35,3
HORIZONTE->Arena media, 250-500 μ (%) :  1,9 | 1,1 | 1
HORIZONTE->Arena gruesa, 500-1000 μ (%) :  3 | 1,5 | 1,4
HORIZONTE->Arena muy gruesa, 1-2 mm (%) :  0 | 0 | 0
HORIZONTE->Carbonatos (% CaCO3) :  0 | 0 | 0
HORIZONTE->Equivalente de humedad (%) :  8,8 | 7,8 | 7,1
HORIZONTE->pH en pasta :  5,5 | 6,2 | 7
HORIZONTE->pH en agua (1:2,5) :  5,7 | 6,3 | 7,2
HORIZONTE->Mg++ :  0,7 | 0,2 | 0,7
HORIZONTE->Na+ :  0,2 | 0,2 | 0,1
HORIZONTE->K+ :  1,6 | 1,3 | 0,6
HORIZONTE->H+ :  1,4 | 0,7 | 0,4
HORIZONTE->Suma de bases, S (meq/100g) :  7,2 | 7,6 | 6,8
HORIZONTE->Capacidad de intercambio catiónico, T (meq/100g) :  8,8 | 8,2 | 7,2
HORIZONTE->Porcentaje de sodio de intercambio (P.S.I.) :  2,3 | 2,4 | 1,4
HORIZONTE->Saturación con bases, S/T (%) :  81,8 | 92,7 | 94,4
