Serie EL BANADO
Simbolo: EBn
Argiustol tipico, limosa fina, mixta, termica
Indice de Productividad: 63
Capacidad de uso: IVc

La Serie El Banado es un suelo profundo, moderado a fuertemente desarrollado sobre materiales originarios eolicos con influencia fluvial muy evidente de textura franco limosa. Se ubica en las lineas de escurrimiento bien manifiestas o colectores principales de la Planicie fluvio eolica. Tiene un horizonte A de 20 cm; color pardo grisaceo muy oscuro, franco limoso, estructura en bloques subangulares medios moderados. Le sigue el horizonte Bt mas pesado (franco arcillo limoso) color pardo grisaceo muy oscuro a pardo oscuro que se extiende hasta 35 cm y un Bw (franco limoso) hasta 80 cm de profundidad. No presenta salinidad o alcalinidad sodica en ningun horizonte y su drenaje es moderadamente bueno. Practicamente no tiene limitaciones edaficas. Este suelo es considerado como uno de los de mejor aptitud en condiciones de secano, merced a las optimas condiciones del horizonte superficial y la muy buena recepcion de humedad por su condicion ligeramente deprimida; ademas, la retencion de humedad subsuperficial es optima. Las lineas de escurrimiento donde se encuentra esta Serie fueron las primeras unidades cartograficas desmontadas en el siglo pasado. La Serie El Banado no aparece mapeada sola por motivos de escala, sino formando asociaciones con las Series El Rodeo y Los Sauces. Puede estar tambien como suelos menores o inclusiones en otras lineas de escurrimiento de menor dimension. En los perfiles correspondientes a esta Serie se han observado cementaciones parciales por debajo del metro o una influencia fluvial mas evidente por la presencia de arena gruesa pero siempre en menor proporcion que la fina.

Descripcion del perfil tipico:

A continuacion se da la descripcion de un perfil representativo de la Serie obtenida a 10 km al SO de la localidad de Las Arrias, departamento Tulumba, provincia de Cordoba.

A	 0-20 cm; color en humedo pardo grisaceo muy oscuro (10YR3/2); franco limoso; estructura en bloques subangulares medios moderados; friable en humedo; ligeramente plastico; no adhesivo; pH 6,5; raices muy abundantes; limite inferior claro, suave.

Bt	20-34 cm; color en humedo pardo grisaceo muy oscuro a pardo oscuro (10YR3/2,5); franco arcillo limoso; estructura en prismas irregulares finos, rompe a prismas, friable en humedo; plastico; adhesivo; pH 6,9; barnices humico arcillosos muy abundantes a abundantes medios; raices comunes; limite inferior claro, suave.

Bw	34-80 cm; color en humedo pardo oscuro (10YR3/3); franco limoso; estructura en prismas regulares medios moderados, rompen a prismas; ligeramente firme en humedo; plastico; adhesivo; pH 6,8; barnices arcillosos humicos abundantes a muy abundantes medios finos; raices escasas; limite inferior gradual.

BC	80-120 cm; color en humedo pardo amarillento oscuro (10YR4/4); franco limoso; estructura en prismas irregulares medios moderados rompe a prismas y bloques; plastico; ligeramente adhesivo; pH 7; barnices arcillosos abundantes a escasos finos; raices escasas; limite inferior gradual.

C	120 cm a +; color en humedo pardo a pardo oscuro (7,5YR4/4); franco limoso; masivo; ligeramente plastico; no adhesivo; pH 7; concreciones de CO3Ca escasas y finas; vestigios de raices.


Datos analiticos Serie EL BANADO

Situacion: Latitud: 30?26'S Longitud: 63?40'O Altitud: 273 m.s.n.m.

|Horizonte                                                            |A       |Bt      |Bw      |BC       |C         |
|Profundidad de la muestra (cm)                                       |0-20    |20-34   |34-80   |80-120   |120 a +   |
|Materia Organica (%)                                                 |3,22    |2,41    |0,74    |0,60     |          |
|Carbono Organico (%)                                                 |1,87    |1,40    |0,43    |0,35     |          |
|Nitrogeno total (%)                                                  |0,15    |0,14    |0,06    |         |          |
|Relacion C/N                                                         |12,4    |10,0    |7,1     |         |          |
|Arcilla, <2 u (%)                                                    |22,3    |32,1    |23,1    |17,3     |13,7      |
|Limo, 2-50 u (%)                                                     |70,5    |62,8    |65,3    |72,7     |73,2      |
|Arena muy fina, 50-100 u (%)                                         |3,6     |2,2     |8,8     |4,9      |4,8       |
|Arena fina, 100-250 u (%)                                            |2,3     |2,0     |0,7     |4,4      |5,6       |
|Arena media, 250-500 u (%)                                           |0,4     |0,3     |1,1     |0,5      |0,6       |
|Arena gruesa, 500-1000 u (%)                                         |0,7     |0,9     |        |0,8      |1,2       |
|Arena muy gruesa, 1-2 mm (%)                                         |        |        |        |         |0,2       |
|Carbonatos, CaCO3 (%)                                                |0       |0       |0       |0        |0         |
|Equivalente de humedad (%)                                           |30,5    |33,1    |28,1    |26,1     |25,5      |
|pH en pasta                                                          |6,3     |6,5     |6,6     |6,8      |6,8       |
|pH en agua (1:2,5)                                                   |6,5     |6,8     |6,9     |7,0      |7,0       |
|Cationes de intercambio, meq/100 gr (Ca++)                            |16,1    |17,8    |13,7    |13,4     |13,3      |
|Cationes de intercambio, meq/100 gr (Mg++)                            |1,8     |2,7     |2,5     |1,5      |1,1       |
|Cationes de intercambio, meq/100 gr (Na+)                             |0,2     |0,2     |0,2     |0,2      |0,2       |
|Cationes de intercambio, meq/100 gr (K+)                              |2,3     |1,3     |1,4     |1,8      |1,9       |
|Cationes de intercambio, meq/100 gr (H+)                              |2,2     |1,6     |1,2     |1,0      |1,0       |
|Sodio de intercambio, % (PSI)                                        |0,9     |0,7     |1,1     |1,1      |1,1       |
|Suma de bases, meq/100 gr (S)                                        |20,4    |22,0    |17,8    |16,9     |16,5      |
|Capacidad de intercambio cationico, meq/100 gr (T)                   |22,5    |23,8    |19,0    |18,0     |17,5      |
|Saturacion con bases, % (S/T)                                        |91      |92      |94      |94       |94        |
