Serie ACHALA III
Endoacuol litico paralitico, esqueletica, franca, mixta, termica
Indice de Productividad: 20

Es un suelo imperfectamente drenado desarrollado sobre rocas graniticas alteradas. Se lo encuentra en sectores altos del relieve pero en posiciones concavas, caracterizados por la presencia de humedad en todo el perfil durante la mayor parte del tiempo. Tiene un horizonte superior muy enriquecido en materia organica parcialmente descompuesta de unos 8 cm de espesor con gran cantidad de raices y textura franco arcillo limosa. Le sigue a continuacion un horizonte ligeramente enriquecido en arcilla hasta los 29 cm con estructura en prismas. A mayor profundidad continua una capa mas arenosa endurecida (granito parcialmente alterado) con algunos barnices y gravilla abundante. Este suelo tiene escurrimiento medio a lento con baja permeabilidad por la presencia de la roca granitica semi-alterada, nutre las aguas de escurrimiento de areas mas altas y todo el perfil esta humedo a mojado. Puede sufrir anegamientos frecuentes de corta duracion.

Descripcion del perfil tipico:

El perfil tipico de esta Serie fue descrito en la parte alta y Sur de la estancia La Trinidad, departamento San Alberto, provincia de Cordoba.

A	0-8 cm; color en humedo gris muy oscuro (10YR3/1); franco arcillo limoso; estructura en bloques subangulares muy fuertes; friable en humedo; plastico; ligeramente adhesivo; pH 5,3; raices muy abundantes, limite inferior claro suave.

Bw	8-29 cm; color en humedo pardo grisaceo muy oscuro (10YR3/2); franco arcillo limoso; estructura en prismas regulares gruesos que rompen a prismas; friable en humedo, plastico; adhesivo; pH 5,5; barnices humico arcillosos abundantes medios; raices abundantes; limite inferior abrupto suave.

2BC	29-50 cm; franco limoso con arena de tipo media gruesa; masivo; ligeramente firme en profundidad; no plastico; no adhesivo; barnices humico arcillosos escasos y finos; vestigios de raices.

3R	50 cm a +; roca parcialmente alterada.

Datos analiticos Serie ACHALA III
Situacion: Latitud: 31o42'S Longitud: 64o51'20"O Altitud: 2083 m.s.n.m.

|Horizonte                                                            |A       |Bw      |2BC     |
|Profundidad de la muestra (cm)                                       |0-8     |8-29    |29-50   |
|Materia Organica (%)                                                 |29,83   |9,14    |1,21    |
|Carbono Organico (%)                                                 |17,3    |5,3     |0,7     |
|Nitrogeno total (%)                                                  |1,65    |0,39    |        |
|Relacion C/N                                                         |10,5    |13,6    |        |
|Arcilla, <2 u (%)                                                    |33,6    |34,4    |10,4    |
|Limo, 2-50 u (%)                                                     |62,5    |53,0    |55,2    |
|Arena muy fina, 50-100 u (%)                                         |0,40    |0,85    |4,40    |
|Arena fina, 100-250 u (%)                                            |0,60    |2,95    |7,60    |
|Arena media, 250-500 u (%)                                           |0,30    |1,35    |2,70    |
|Arena gruesa, 500-1000 u (%)                                         |0,95    |3,75    |10,50   |
|Arena muy gruesa, 1-2 mm (%)                                         |0,75    |2,90    |8,30    |
|Carbonatos, CaCO3 (%)                                                |0,0     |0,0     |0,0     |
|Equivalente de humedad (%)                                           |78,6    |36,4    |19,5    |
|pH en pasta                                                          |5,2     |5,4     |6,0     |
|pH en agua (1:2,5)                                                   |5,3     |5,5     |6,1     |
|Cationes de intercambio, meq/100 gr (Ca++)                           |34,5    |26,7    |9,5     |
|Cationes de intercambio, meq/100 gr (Mg++)                           |2,1     |3,1     |0,5     |
|Cationes de intercambio, meq/100 gr (Na+)                            |1,2     |0,7     |0,3     |
|Cationes de intercambio, meq/100 gr (K+)                             |0,5     |0,1     |0,05    |
|H+ de cambio (meq/100 gr)                                            |12,6    |6,5     |1,5     |
|Sodio de intercambio, % (PSI)                                        |2,4     |1,9     |2,5     |
|Suma de bases, meq/100 gr (S)                                        |38,3    |30,6    |10,4    |
|Capacidad de intercambio cationico, meq/100 gr (T)                   |50,79   |37,1    |11,9    |
|Saturacion con bases, % (S/T)                                        |75      |82      |87      |
