Serie CANALS
Simbolo: Cs
CLASIFICACION: Haplustol entico
TPS: franca gruesa, mixta, termica
Suelos algo excesivamente drenados, desarrollados sobre materiales areno francos de origen eolico y se encuentran vinculados a lomadas onduladas y suavemente onduladas que presentan distintos porcentajes de hoyas medanosas estabilizadas dentro de la tipica llanura eolica cordobesa. La capa arable (horizonte Ap) de 25 cm de espesor, es de color pardo a pardo oscuro, de textura franco arenosa y estructura en bloques debiles. Hacia abajo pasa gradualmente (horizonte transicional AC) al material originario que se encuentra a una profundidad de 54 cm, de textura arenosa y el calcareo en la masa aparece por lo general por debajo de los 100 cm. La capacidad de uso de estos suelos esta limitada por la baja retencion de humedad (textura gruesa) y el clima. Se ha identificado la fase moderadamente bien drenada en bajos suavemente deprimidos y la fase ligera a moderadamente erosionada por viento vinculadas a lomas y relictos medanosos.
UBICACION: a 8 km al Sur de la localidad de Canals, departamento Union, provincia de Cordoba.
Ap	0-25 cm; color en humedo pardo grisaceo muy oscuro (10YR3/2); franco arenoso; estructura en bloques subangulares medios debiles y granular; friable en humedo; no plastico; no adhesivo; limite inferior claro, suave.
AC	25-54 cm; color en humedo pardo amarillento oscuro (10YR3/4); franco arenoso a areno franco; estructura en bloques subangulares debiles con tendencia a masivo; friable en humedo; no plastico; no adhesivo; limite inferior difuso.
C	54 cm a +; color en humedo pardo a pardo oscuro (7,5YR4/4); areno franco a arenoso; masivo; muy friable en humedo; no plastico; no adhesivo.
Datos analiticos Serie CANALS
LATITUD:S333749
LONGITUD:O625120
ALTITUD:119 m.s.n.m.
|Horizonte                                                            |Ap      |AC      |C       |
|Profundidad de la muestra (cm)                                       |0-25    |25-54   |54 a +  |
|Materia Organica (%)                                                 |2,24    |1,97    |0,21    |
|Carbono Organico (%)                                                 |1,30    |1,14    |0,12    |
|Nitrogeno total (%)                                                  |0,12    |0,06    |0,03    |
|Relacion C/N                                                         |10,8    |19,0    |4,0     |
|Arcilla, <2 u (%)                                                    |9,8     |5,0     |3,4     |
|Limo, 2-50 u (%)                                                     |18,8    |21,6    |17,7    |
|Arena muy fina, 50-100 u (%)                                         |58,8    |64,7    |75,0    |
|Arena fina, 100-250 u (%)                                            |10,0    |6,4     |0,4     |
|Arena media, 250-500 u (%)                                           |        |        |        |
|Arena gruesa, 500-1000 u (%)                                         |        |        |        |
|Arena muy gruesa, 1-2 mm (%)                                         |        |        |        |
|Carbonatos, CaCO3 (%)                                                |        |        |        |
|Equivalente de humedad (%)                                           |12,0    |10,0    |8,6     |
|pH en pasta                                                          |5,7     |6,6     |7,3     |
|pH en agua (1:2,5)                                                   |5,8     |6,7     |7,5     |
|Cationes de intercambio, meq/100 gr (Ca++)                           |5,9     |7,0     |6,9     |
|Cationes de intercambio, meq/100 gr (Mg++)                           |1,0     |1,5     |1,5     |
|Cationes de intercambio, meq/100 gr (Na+)                            |0,2     |0,2     |0,3     |
|Cationes de intercambio, meq/100 gr (K+)                             |2,2     |1,2     |0,8     |
|Cationes de intercambio, meq/100 gr (H+)                             |2,6     |1,4     |0,3     |
|Sodio de intercambio, % (PSI)                                        |1,7     |1,8     |3,0     |
|Suma de bases, meq/100 gr (S)                                        |9,3     |9,9     |9,5     |
|Capacidad de intercambio cationico, meq/100 gr (T)                   |12,0    |11,3    |9,9     |
|Saturacion con bases, % (S/T)                                        |77      |87      |96      |
