Serie LAS PIEDRAS
Simbolo: FALTA!
CLASIFICACION: Argiustol paquico
TPS: franca gruesa, mixta, termica
Esta Serie se encuentra ubicada en los vallecitos de las sierras bajas del complejo de rocas metamorficas de la margen oriental de la Sierra Chica de Cordoba. Los perfiles son algo excesivamente drenados con pendientes normalmente mayores al 3%. El material originario es de tipo fluvial y se caracteriza por tener un importante desarrollo en profundidad y con horizontes superficiales acumulados. Tiene un horizonte A o capa arable de 40 cm, lo que demuestra procesos de acumulacion del sedimento aluvional muy dinamico de estos valles; tiene textura franco arenosa gruesa con 12% de arcillas y solo 5% de limo, estructura en bloques subangulares moderados y color muy oscuro. Continua un horizonte enriquecido en arcillas iluviales de textura franco arenosa con 16% de arcilla y 21% de limo con estructura en prismas moderados y barnices comunes gruesos en las caras de los agregados. Este horizonte subsuperficial es divisible en Bt y Bt2, muy semejantes, que se diferencian por el mayor contenido de gravas de este ultimo, que se extiende hasta mas de 90 cm de profundidad.
UBICACION: a 24 km al NO de la ciudad de Jesus Maria, departamento Totoral, provincia de Cordoba.
A	0-40 cm; color en humedo pardo muy oscuro (10YR2/2); franco arenoso; estructura en bloques subangulares medios moderados; friable en humedo; no plastico; no adhesivo; pH 6,1; raices abundantes; limite inferior claro, suave.
Bt	40-60 cm; color en humedo pardo oscuro (10YR3/3); franco arenoso a franco; estructura en prismas irregulares medios gruesos; friable en humedo; ligeramente plastico; ligeramente adhesivo; pH 6,4; barnices comunes medios de arcilla y humus; raices escasas; limite inferior gradual.
Bt2	60 cm a +; color en humedo pardo oscuro pardo amarillento oscuro (10YR3/3,5); franco arenoso a franco; estructura en prismas irregulares moderados; friable en humedo; ligeramente plastico; ligeramente adhesivo; barnices escasos a comunes; se observa aproximadamente un 10% de gravilla.
Datos analiticos Serie LAS PIEDRAS
LATITUD:S304849
LONGITUD:O641333
ALTITUD:700 m.s.n.m.
|Horizonte                                                            |A       |Bt      |Bt2     |
|Profundidad de la muestra (cm)                                       |0-40    |40-60   |60 a +  |
|Materia Organica (%)                                                 |2,07    |0,52    |        |
|Carbono Organico (%)                                                 |1,2     |0,3     |        |
|Nitrogeno total (%)                                                  |0,12    |0,03    |        |
|Relacion C/N                                                         |10,0    |10,0    |        |
|Arcilla, <2 u (%)                                                    |12,1    |16,4    |16,4    |
|Limo, 2-50 u (%)                                                     |25,4    |21,4    |22,8    |
|Arena muy fina, 50-100 u (%)                                         |4,1     |4,1     |4,8     |
|Arena fina, 100-250 u (%)                                            |6,4     |6,7     |9,8     |
|Arena media, 250-500 u (%)                                           |11,4    |11,7    |14,7    |
|Arena gruesa, 500-1000 u (%)                                         |27,3    |24,5    |21,7    |
|Arena muy gruesa, 1-2 mm (%)                                         |11,8    |13,2    |10,2    |
|Carbonatos, CaCO3 (%)                                                |        |        |        |
|Equivalente de humedad (%)                                           |14,2    |14,6    |13,2    |
|pH en agua (1:2,5)                                                   |6,1     |6,4     |6,5     |
|Cationes de intercambio, meq/100 gr (Ca++)                           |10,3    |12,1    |10,5    |
|Cationes de intercambio, meq/100 gr (Mg++)                           |0,6     |0,6     |0,3     |
|Cationes de intercambio, meq/100 gr (Na+)                            |0,2     |0,2     |0,2     |
|Cationes de intercambio, meq/100 gr (K+)                             |0,4     |0,3     |0,2     |
|Cationes de intercambio, meq/100 gr (H+)                             |1,2     |1,1     |0,5     |
|Sodio de intercambio, % (PSI)                                        |1,6     |1,4     |1,7     |
|Suma de bases, meq/100 gr (S)                                        |11,5    |13,2    |11,2    |
|Capacidad de intercambio cationico, meq/100 gr (T)                   |12,7    |14,3    |11,7    |
|Saturacion con bases, % (S/T)                                        |90,5    |92,3    |95,7    |
