Serie EL ARANADO
Simbolo: EAr
CLASIFICACION: Argiustol ustalfico
TPS: franca gruesa, mixta, termica
UBICACION: a 13,8 Km al NE de la localidad del Aranado, departamento San Justo, provincia de Cordoba.
COLOR: color en humedo pardo oscuro (10YR3/3)
LATITUD:S314039
LONGITUD:O624559
ALTITUD:133 m.s.n.m.
|Horizonte                                                            |Ap      |A       |2Bt     |BC      |Ckn     |
|Profundidad de la muestra (cm)                                       |0-11    |11-22   |22-40   |40-61   |61 a +  |
|Materia Organica (%)                                                 |0,98    |1,43    |0,93    |0,86    |        |
|Carbono Organico (%)                                                 |0,57    |0,83    |0,54    |0,50    |        |
|Nitrogeno total (%)                                                  |0,08    |0,08    |0,07    |        |        |
|Relacion C/N                                                         |7,1     |10,4    |7,7     |        |        |
|Arcilla, <2 u (%)                                                    |6,9     |13,3    |22,3    |20,8    |12,4    |
|Limo, 2-50 u (%)                                                     |34,1    |43,4    |49,3    |52,4    |56,9    |
|Arena muy fina, 50-100 u (%)                                         |6,1     |6,6     |8,0     |7,7     |9,9     |
|Arena fina, 100-250 u (%)                                            |27,9    |19,5    |12,1    |10,5    |11,9    |
|Arena media, 250-500 u (%)                                           |12,0    |11,2    |5,5     |4,5     |6,7     |
|Arena gruesa, 500-1000 u (%)                                         |10,8    |5,0     |2,5     |2,7     |0,5     |
|Arena muy gruesa, 1-2 mm (%)                                         |1,4     |0,3     |0,4     |0,3     |0,2     |
|Carbonatos, CaCO3 (%)                                                |        |        |        |0,1     |2,2     |
|Equivalente de humedad (%)                                           |12,0    |17,3    |22,5    |22,0    |22,4    |
|pH en pasta                                                          |5,2     |5,7     |7,2     |7,5     |8,0     |
|pH en agua (1:2,5)                                                   |5,7     |6,0     |7,5     |7,9     |8,8     |
|Cationes de intercambio, meq/100 gr (Ca++)                           |3,0     |6,1     |12,0    |        |        |
|Cationes de intercambio, meq/100 gr (Mg++)                           |0,5     |0,7     |1,9     |        |        |
|Cationes de intercambio, meq/100 gr (Na+)                            |0,2     |0,1     |0,8     |1,0     |2,4     |
|Cationes de intercambio, meq/100 gr (K+)                             |1,7     |1,7     |1,7     |2,0     |2,6     |
|Cationes de intercambio, meq/100 gr (H+)                             |1,5     |1,4     |0,3     |        |        |
|Sodio de intercambio, % (PSI)                                        |2,9     |1,0     |4,7     |6,2     |15,3    |
|Suma de bases, meq/100 gr (S)                                        |5,4     |8,6     |16,4    |        |        |
|Capacidad de intercambio cationico, meq/100 gr (T)                   |7,0     |10,1    |16,9    |16,0    |15,7    |
|Saturacion con bases, % (S/T)                                        |77,1    |85,1    |97,0    |        |        |
