er56c||||||
NÂº 				de registro|383|384|385|386|387|388
Horizonte|A1|B1|B21t|B22t|B3ca|Cca
Profundidad 				(cm)|00-18|25-37|42-60|69-80|80-102|125-145
Materia 				orgÃ¡nica (%)|5.4|2.9|2.1|1.5|0.6|0.2
N 				(%)|-|-|-|-|-|-
C/N|12|14|13|13|10|-
T 				               < 2 Î¼|31.2|32.6|45.8|46.1|43.9|43.1
E 				             2-20 Î¼|25.2|25.5|23.4|24.8|20.9|19.3
X 				             2-50 Î¼|61.3|59.3|47.9|47.7|51.1|53.8
T 				          50-100 Î¼|1.3|1.5|1.2|1.1|0.9|0.8
U 				        100-500 Î¼|4.0|4.3|3.3|3.2|2.6|1.4
R 				      500-1000 Î¼|2.2|2.3|1.8|1.9|1.5|0.9
A 				    1000-2000 Î¼|0.0|0.0|0.0|0.0|0.0|0.0
CO3Ca 				(%)|0.0|0.0|0.0|53.0|10.8|10.9
pH 				H2O|5.2|6.0|7.1|7.8|8.0|8.0
pH 				ClK|4.9|5.3|6.0|6.6|6.9|6.9
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|36.8|35.6|45.6|43.5|40.0|40.9
d 				    Ca++|26.6|29.1|37.5|0.0|0.0|0.0
C 				 e||||||
a 				        Mg++|3.1|2.7|3.8|0.0|0.0|0.0
t 				  c||||||
i 				  a     K+|0.7|0.5|0.8|0.9|0.7|0.8
o 				 m||||||
n 				 b     Na+|0.3|1.2|2.2|3.0|3.2|2.5
e 				 i||||||
s 				 o     H+|6.2|3.6|2.1|0.0|0.0|0.0
% 				Na/T|0.8|3.4|4.8|6.9|8.0|6.1
Equivalente 				de humedad (%)|34.5|36.0|47.2|46.0|42.6|43.7
