er7120c||||||
NÂº 				de registro|1740|1741|1742|1743|1744|1745
Horizonte|A1|B1|B21t|B22t|B3ca|Cca
Profundidad 				(cm)|05-15|25-40|50-65|70-80|95-105|120-140
Materia 				orgÃ¡nica (%)|4.44|3.10|2.26|1.76|0.85|0.36
N 				(%)|0.18|0.12|0.09|0.07|0.05|0.03
C/N|14|15|14|13|10|7
T 				                     < 2 Î¼|35.63|40.22|45.29|48.72|47.51|41.58
E 				                   2-20 Î¼|32.57|32.70|24.33|23.71|23.01|29.61
X 				                   2-50 Î¼|62.66|58.45|53.65|50.25|51.25|57.28
T 				               50-100 Î¼|0.66|0.30|0.34|0.31|0.25|0.11
U 				             100-500 Î¼|1.01|1.02|0.71|0.70|0.77|1.01
R 				           500-1000 Î¼||||||
A||||||
||||||
CO3Ca 				(%)|0.0|0.0|0.0|0.0|4.43|7.95
pH 				H2O|6.8|6.8|6.9|7.5|8.1|8.3
pH 				ClK|5.9|5.7|5.9|6.5|7.1|7.2
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|37.3|39.1|47.7|44.2|36.1|36.1
d 				    Ca++|26.9|31.9|36.9|35.9|ND|ND
C 				 e||||||
a 				         Mg++|3.8|3.2|1.4|1.2|ND|ND
t 				   c||||||
i 				   a     K+|0.8|0.8|0.8|0.8|0.8|0.8
o 				  m||||||
n 				  b     Na+|2.5|2.3|2.1|2.0|2.8|2.9
e 				  i||||||
s 				  o     H+|-|-|-|-|-|-
||||||
% 				Na/T|6.7|5.9|4.4|4.5|7.8|8.0
||||||
Equivalente 				de humedad (%)|37.93|42.35|48.20|49.99|46.02|42.32
FÃ³sforo 				asimilable (ppm)|18.60|3.61|2.31|1.66|0.39|0.39
