pde_c384_inta_castelar|iii|iv|v|vi
NÂº 			 Laboratorio|21354|21355|21356|21357
Profundidad 			(cm)|48-60|70-75|85-110|130-140
Factor 			de humedad|-|-|-|-
Ca 			CO3 			 			(%)|-|-|-|-
Resistencia 			de la pasta|-|-|-|-
pH 			en pasta|-|-|-|-
pH 			en H2O 			(1 : 2.5)|-|-|-|-
Conductividad 			(mmhos/cm)|12.58|12.38|17.04|15.39
Ca++|5.4|7.0|9.5|5.8
Mg++|9.6|10.2|10.6|11.4
Na 			+|118.4|134.4|160.0|132.0
K 			+|-|-|-|-
HCO-3|-|-|-|-
SO4++|3.5|7.5|6.5|9.0
Cl 			-|92.0|116.0|130.0|114.0
Valor 			T (m.e./1) Na|S|-|S|S
Sodio 			en cambio (m.e./1)|-|-|-|-
Sodio 			cambiable|-|-|-|-
