88c_inta_castelar|||||
NÂ° 				de registro|||||
Horizonte|A1|IIC1|IIIC2|IVC3|VC4
Profundidad 				(cm)|13-27|35-43|47-56|60-65|65-70
Mat. 				orgÃ¡nica (%)|1.36|0.24|0.10|-|-
C 				(%)|0.79|0.14|0.06|-|-
N 				(%)|0.069|-|-|-|-
C/N|11|-|-|-|-
T 				                              <2 Âµ|18.9|15.9|5.3|15.4|3.8
E 				                           2-20 Âµ|23.0|32.0|33.5|36.1|28.0
X 				                           2-50 Âµ|61.4|69.4|69.5|79.1|60.9
T 				                         50-74 Âµ|16.5|11.0|19.0|3.7|23.4
U 				                      74-100 Âµ|2.6|2.5|5.9|1.3|11.7
R 				                    100-250 Âµ|0.4|0.2|0.2|0.1|0.1
A 				                    250-500 Âµ|0.2|0.1|0.1|0.1|0.1
500-1000 Âµ|-|-|-|-|-
1000-2000 Âµ|-|-|-|-|-
|||||
CO3Ca 				(%)|vest 				(n)|0.9|vest 				(n)|0.3|vest 				(n)
Equivalente 				de humedad  (%)|21.3|15.7|7.7|20.8|6.7
Resistencia 				de la pasta (Ohms/cm)|257|154|180|129|129
pH 				en pasta|7.0|7.4|7.1|7.1|7.1
pH 				en agua (1:2,5)|7.5|8.0|7.5|7.5|7.1
pH 				en KCl (1:2,5)|6.2|7.2|6.7|6.7|6.7
Conductividad 				(mmhos/cm)|17.28|32.64|31.47|38.31|47.37
Mg++|-|-|-|-|-
Na+|-|-|-|-|-
K+|-|-|-|-|-
H+|-|-|-|-|-
Na+ 				% del valor T|-|-|-|-|-
Suma 				de bases, m.e./100 gr (S)|-|-|-|-|-
C.I.C., 				m.e./100 gr (T)|-|-|-|-|-
SaturaciÃ³n 				con bases, (%) (S/T)|-|-|-|-|-
