n_de_registro|30575|30576|30577|30578|30579
Horizonte|I|II|III|IV|V
Profundidad 				(cm)|2-15|19-40|43-57|61-88|92-110
Mat. 				orgÃ¡nica (%)|3.27|0.57|0.43|0.43|0.34
C 				(%)|1.90|0.33|0.25|0.25|0.20
N 				(%)|0.188|0.054|-|-|-
C/N|10|6|-|-|-
T 				                          <2 Âµ|32.4|34.2|37.8|38.2|25.8
E 				                       2-20 Âµ|18.0|16.2|16.2|16.2|23.1
X 				                       2-50 Âµ|37.5|38.5|35.2|49.6|64.9
T 				                     50-74 Âµ|17.0|17.3|17.5|7.3|6.8
U 				                   74-100 Âµ|7.9|6.9|6.9|3.4|1.9
R 				                 100-250 Âµ|5.2|3.1|2.6|1.5|0.6
A 				                 250-500 Âµ|-|-|-|-|-
|||||
Gravilla 				(> 7) Tosca  Ca %|-|-|-|-|-
CaCO3 				 (%) V|-|-|-|-|-
Equiv. 				de humedad (%)|27.8|29.7|35.5|39.2|38.2
Resistencia 				de la pasta (Ohms/cm)|1308|607|514|935|561
pH 				en pasta|4.5|6.5|7.5|7.5|7.4
pH 				en agua (1 . 2,5)|5.2|7.1|8.2|8.2|8.1
pH 				en l N KCl (1 : 2,5)|3.9|5.4|6.2|6.4|6.2
Conductividad 				(mmhos/cm)|-|3.1|4.1|2.6|4.4
Mg++|3.6|3.7|4.9|4.1|7.6
Na+|2.8|7.1|6.8|10.9|7.4
K+|0.2|0.2|0.2|0.3|0.3
% 				Na+ 				en cambio de v. T|15|48|39|57|37
% 				de agua de saturaciÃ³n|49|45|49|55|56
Valor 				S (m.e./100 g)|14|16.5|17.4|21.3|22.5
H 				de cambio (m.e./100 g)|11.6|4.3|-|-|3.5
Valor 				T (m.e./100) NH4++ 				 o 				Na+|18.3|14.7|17.5|18.9|20.2
% 				de saturaciÃ³n de T|76|100|99|100|100
% 				de saturaciÃ³n de S + H|55|79|-|-|87
FÃ³sforo 				asimilable (ppm)|1.6|0.9|1.2|1.9|1.6
Factor 				de humedad|1.02|1.02|1.02|1.03|1.03
