er4_18_c||||||
Horizonte|A11|A12|B21t|B22t|B3ca|Cca(g)
Profundidad 				(cm)|4-18|20-35|48-75|89-100|112-130|142-165
Mat.orgÃ¡nica 				(%)|4,98|4,04|2,59|1,51|0,56|0,30
C 				(%)|2,90|2,35|1,51|0,88|0,33|0,18
N 				(%)|0,237|0,176|0,096|0,066|0,033|0,022
C/N|12|13|16|13|10|8
CO3Ca 				(%)|0,0|0,0|0,0|0,0|4,9|4,2
% 				SaturaciÃ³n de Agua||||||
Equivalente 				de Humedad (%)|30,4|32,5|33,2|38,0|42,1|44,6
pH 				en pasta|5,4|5,4|5,9|6,5|7,3|7,3
pH 				en agua (1:2,5)|5,5|5,5|5,9|6,8|7,6|7,6
pH 				en ClK (1:2,5)||||||
Conductividad 				(mmhos/cm)||||||
Sales 				solubles grs (%)||||||
Resistencia 				en pasta||||||
Mg 				++|4,2|4,7|4,2|4,3|ND|ND
Na 				++|0,2|0,2|0,5|0,6|0,8|1,2
K 				++|0,3|0,4|0,5|0,5|0,5|0,7
Valor 				S (m.e./ 100 gr.)|31,0|34,0|35,5|37,4|ND|ND
H 				de cambio (m.e. / 100 gr.)|5,2|5,2|3,1|1,9|ND|ND
Valor 				T (m.e. / 100 gr)|34,9|38,1|37,0|37,4|36,8|43,7
% 				de saturaciÃ³n de T|89|89|96|100|ND|ND
% 				de saturaciÃ³n de S + H||||||
% 				Na/T|0,6|0,5|1,4|1,6|2,2|2,7
