er191c||||||
NÂº 				de registro|7741|7742|7743|7744|7745|7746
Horizonte|A21|A22|B21t|B22t|B3|C
Profundidad 				(cm)|03-12|17-23|27-45|54-64|83-110|27-137
Materia 				orgÃ¡nica (%)|1.61|0.53|0.45|0.31|0.15|0.15
N 				(%)|0.09|0.05|0.04|0.02|0.03|0.02
C/N|10|5|6|8|3|4
T 				                     < 2 Î¼|20.09|21.04|41.83|46.77|41.34|31.95
E 				                   2-20 Î¼|42.85|41.90|27.67|20.94|46.46|36.59
X 				                   2-50 Î¼|71.33|72.69|52.61|47.05|51.40|61.47
T 				               50-100 Î¼|5.61|1.23|2.05|1.63|2.13|2.51
U 				             100-500 Î¼|2.93|4.99|3.46|4.52|5.09|4.03
R 				           500-1000 Î¼|0.04|0.05|0.05|0.03|0.04|0.04
A||||||
||||||
CO3Ca 				(%)|0.00|0.83|1.26|1.62|0.79|0.52
pH 				H2O|8.8|9.8|9.9|9.9|9.7|9.5
pH 				ClK|7.5|8.3|8.5|8.5|8.6|8.4
CE 				(mmhos/cm)|5.02|9.21|9.33|7.76|5.76|3.94
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|20.30|22.90|39.30|44.70|39.40|29.30
d 				    Ca++|7.60|7.70|15.30|17.00|15.10|10.30
C 				 e||||||
a 				         Mg++|0.80|0.90|2.10|2.30|2.00|1.80
t 				   c||||||
i 				   a     K+|0.60|0.75|1.30|1.70|1.40|1.10
o 				  m||||||
n 				  b     Na+|11.25|13.50|20.50|23.50|20.50|16.00
e 				  i||||||
s 				  o     H+|-|-|-|-|-|-
||||||
% 				Na/T|55.4|58.9|52.2|52.6|52.0|54.6
||||||
Equivalente 				de humedad (%)|23.96|25.00|44.07|49.09|43.70|35.00
FÃ³sforo 				asimilable (ppm)|-|-|-|-|-|-
