er245c|||||
NÂ° 				de registro|902|903|904|905|906
Horizonte|Ap|A1|I/II|II|III
Profundidad 				(cm|00-10|20-32|43-50|60-75|83-95
Mat.orgÃ¡nica 				(%)|1,50|1,30|1,40|0,40|0,20
N 				(%)|0,09|0,08|0,08|-|-
C/N|10|10|11|-|-
Gravas|0,00|0,00|3,40|0,50|0,40
CO3Ca 				(%)|-|-|-|-|-
pH 				H2O|5,4|5,7|5,9|6,2|6,6
pH 				ClK|4,6|4,9|4,7|4,9|5,2
Capacidad 				de intercambio catiÃ³nico (m.e./100 				g) =  Valor 				T|5,80|7,70|21,70|20,10|17,70
% 				Na/T|0,86|1,30|0,46|0,50|0,56
Equivalente 				de  humedad  (%)|9,2|10,5|22,8|20,9|19,6
SaturaciÃ³n 				de bases (%)|30,0|33,0|66,0|70,0|75,0
