er772c||||||
NÂº 				de registro|5230|5231|5232|5233|5234|5235
Horizonte|A1|B21t|B22t|B23t|B3ca|C
Profundidad 				(cm)|05-20|27-40|47-57|68-84|95-105|125-140
Mat.orgÃ¡nica 				(%)|4.09|2.24|1.15|0.61|0.38|0.15
N 				(%)|0.17|0.10|0.07|0.04|0.03|0.02
C/N|14|13|10|8|8|5
||||||
CO3Ca 				(%)|-|-|-|0.4|0.8|1.1
pH 				H2O|5.5|6.9|7.3|7.7|7.9|8.2
pH 				ClK|N.D.|N.D.|N.D.|N.D.|N.D.|N.D.
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) = Valor 				T|35.70|40.80|37.60|36.80|N.D.|33.90
d 				      Ca ++|17.90|32.80|30.30|30.20|-|30.40
C 				    e||||||
a 				             Mg++|2.40|3.80|3.90|3.50|-|2.40
t 				     C||||||
i 				      a       K+|0.78|0.75|0.41|0.50|0.37|0.40
o 				    m||||||
n 				    b       Na+|1.20|1.03|0.40|0.48|0.38|0.56
e 				     i||||||
s 				     o       H+|2.20|0.40|0.90|0.90|-|-
% 				Na/T|6.16|0.98|2.39|2.45|-|-
||||||
Equivalente 				de humedad (%)|28.24|47.52|44.84|42.24|43.12|34.69
P 				asimilable (P2O5)|-|-|-|-|-|-
