n_de_registro|8547|8548|8549|8550|8551|8552
Horizonte|A1|B21t|B22t|B23|B3|C
Profundidad 				(cm)|02-09|15-35|45-65|73-90|97-110|127-130
Materia 				orgÃ¡nica (%)|7.52|2.00|1.22|1.09|0.36|0.08
N 				(%)|0.38|0.10|0.06|0.05|0.04|0.03
C/N|11.01|11.09|11.33|12.00|4.88|1.33
T 				              < 2 Âµ|40.95|48.43|50.37|53.87|49.42|47.67
E 				            2-20 Âµ|31.06|30.52|30.81|30.50|31.73|33.88
X 				            2-50 Âµ|57.18|49.32|47.33|44.62|45.21|43.29
T 				         50-100 Âµ|1.33|1.54|1.09|0.46|0.65|3.90
U 				       100-500 Âµ|0.51|0.66|1.17|1.01|4.69|5.12
R 				     500-1000 Âµ|0.03|0.05|0.04|0.04|0.03|0.02
A 				   1000-2000 Âµ|-|-|-|-|-|-
CO3Ca 				(%)|0.0|0.0|0.0|0.0|0.0|0.0
pH 				H2O|5.6|6.2|6.8|7.2|7.5|7.7
pH 				ClK|4.8|5.1|5.4|5.9|6.0|6.2
C.E. 				(mmhos/mms)|1.16|0.67|0.79|0.85|0.73|0.61
Capacidad de intercambio  catiÃ³nico (meq/100 g) = valor 				T|38.1|41.3|41.9|44.1|40.1|37.0
% 				Na/T|3.41|3.39|3.34|3.40|3.49|3.51
Equivalente 				de humedad (%)|46.83|49.51|54.92|57.20|52.30|42.66
