er753c|||||||
NÂ° 				de registro|4723|4724|4725|4726|4727|4728|4729
Horizonte|A1|B1|B21t|B22t|B31t|B32ca|Cca
Profundidad 				(cm|02-10|13-18|25-37|48-63|75-86|95-106|134-152
Mat.orgÃ¡nica 				(%)|5.20|3.99|2.44|1.53|0.76|0.37|0.08
N 				(%)|0.21|0.17|0.11|0.07|0.04|0.04|0.02
C/N|13|12|11|11|10|5|2
T 				                        <2 Âµ|25.99|26.34|35.47|39.12|37.77|35.14|34.24
E 				                     2-20 Âµ|30.17|34.48|40.28|32.09|30.19|30.82|32.22
X 				                     2-50 Âµ|70.80|7.49|59.52|59.01|60.16|63.14|64.39
T 				                 50-100 Âµ|0.36|0.26|0.05|0.13|0.27|0.03|0.10
U 				               100-250 Âµ|2.85|2.87|1.89|1.72|1.66|1.65|1.30
R 				               250-500 Âµ|-|-|-|-|-|-|-
A 				             500-1000 Âµ|0.07|0.04|0.07|0.02|0.14|0.04|0.07
CO3Ca 				(%)|0.0|0.0|0.3|0.4|2.3|10.5|6.6
pH 				H2O|5.8|5.8|6.4|6.8|7.8|7.9|7.9
pH 				ClK|5.3|5.3|6.0|6.2|7.1|7.2|7.3
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) = Valor 				T|17.12|16.17|28.76|27.70|24.63|22.79|20.04
Equivalente 				de humedad (%)|24.09|23.95|23.39|35.23|31.47|28.67|28.09
P 				asimilable (ppm)|12.59|9.26|4.32|2.44|1.74|2.86|1.62
