er55c||||||
NÂº 				de registro|366|367|368|369|370|371
Horizonte|Ap|A3|B21t|B22ca|B3ca|Cca
Profundidad 				(cm)|00‑14|14‑25|27‑37|48‑65|68‑82|105‑130
Materia 				orgÃ¡nica (%)|2.65|2.07|1.18|0.74|0.53|0.18
C/N|11|12|10|10|11|9
T 				                  < 2 Î¼|22.0|23.9|42.7|47.0|54.4|45.1
E 				                2-20 Î¼|21.0|24.9|23.6|21.0|18.3|28.1
X 				               2-50 Î¼|50.6|48.9|43.8|42.0|37.0|51.1
T 				            50-100 Î¼|2.2|2.4|1.5|1.4|1.3|0.9
U 				          100-250 Î¼|13.0|13.3|6.5|5.0|4.0|1.9
R 				          250-500 Î¼|11.6|11.1|5.0|4.2|3.0|0.1
A 				        500-1000 Î¼|0.6|0.4|0.5|0.4|0.3|0.1
CO3Ca 				(%)|0.0|0.0|0.0|0.0|1.0|0.0
pH 				H2O|5.8|5.5|6.0|6.9|7.7|7.3
pH 				ClK|5.5|5.2|5.3|6.1|6.7|6.4
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|25.1|22.0|33.7|36.4|35.7|32.2
||||||
d 				    Ca++|16.0|12.1|23.7|26.1|0.0|24.3
C 				  e||||||
a 				          Mg++|3.9|3.7|5.2|6.4|0.0|5.7
t 				    c||||||
i 				    a     K+|1.3|0.6|1.0|0.9|0.9|1.0
o 				   m||||||
n 				   b    Na+|0.1|0.1|0.3|0.8|0.9|0.8
e 				    i||||||
s 				    o    H+|0.0|0.0|0.0|0.0|0.0|0.0
% 				Na/T|0.4|0.5|0.9|2.2|2.5|2.5
