n_de_registro|21358|21359|21360|21361|21362
Horizonte|A11|II|III|IV|V
Profundidad 				(cm)|04-09|18-38|58-70|85-120|150-160
Mat. 				orgÃ¡nica (%)|3.25|1.31|0.31|-|-
C 				(%)|1.89|0.76|0.18|-|-
N 				(%)|0.176|0.092|-|-|-
C/N|11|8|-|-|-
T 				                          <2 Âµ|23.4|46.3|47.0|57.2|39.8
E 				                       2-20 Âµ|21.9|23.5|26.6|18.3|26.4
X 				                       2-50 Âµ|53.2|46.5|50.1|34.3|46.2
T 				                     50-74 Âµ|9.7|4.9|1.7|6.1|8.3
U 				                   74-100 Âµ|5.6|1.7|0.7|1.4|4.5
R 				                 100-250 Âµ|5.5|0.4|0.4|0.8|1.1
A 				                 250-500 Âµ|2.6|0.2|0.1|0.2|0.1
|||||
Gravilla 				(> 7) Tosca  Ca %|-|-|0.8|-|-
CaCO3 				 (%) V|-|-|Vest 				(n)|Vest 				(n)|Vest 				(n)
Equiv. 				de humedad (%)|21.7|49.2|52.7|59.2|37.3
Resistencia 				de la pasta (Ohms/cm)|828|203|179|138|179
pH 				en pasta|5.7|6.8|7.2|7.2|7.2
pH 				en agua (1 . 2,5)|6.2|7.1|7.7|7.7|7.6
pH 				en l N KCl (1 : 2,5)|5.4|6.3|6.8|6.6|6.7
Conductividad 				(mmhos/cm)|3.17|16.23|19.19|20.28|16.70
Mg++|3.9|-|-|-|-
Na+|0.8|-|-|-|-
K+|1.3|-|-|-|-
% 				Na+ 				en cambio de v. T|6.6|-|-|-|-
% 				de agua de saturaciÃ³n|45|69|75|78|62
Valor 				S (m.e./100 g)|10.1|-|-|-|-
H 				de cambio (m.e./100 g)|5.7|-|-|-|-
Valor 				T (m.e./100) NH4++ 				 o 				Na+|12.0|-|-|-|-
% 				de saturaciÃ³n de T|84|-|-|-|-
% 				de saturaciÃ³n de S + H|64|-|-|-|-
