er778c|||||
NÂº 				de registro|5267|5268|5269|5270|5271
Horizonte|Ap|B21t|B22t|B3|Cca
Profundidad 				(cm)|05-15|20-30|45-60|70-90|110-130
Materia 				orgÃ¡nica (%)|3.62|2.12|1.26|0.59|0.30
N 				(%)|0.15|0.10|0.06|0.04|-
C/N|14|12|11|8|-
T 				                     < 2 Î¼|24.68|34.41|29.43|25.27|36.64
E 				                   2-20 Î¼|25.02|21.14|24.96|26.33|29.35
X 				                   2-50 Î¼|64.36|58.73|62.47|65.54|54.16
T 				               50-100 Î¼|8.40|6.45|7.64|8.68|11.05
U 				             100-250 Î¼|2.54|0.39|0.45|0.50|1.13
R 				             250-500 Î¼|-|-|-|-|-
A 				           500-1000 Î¼|0.02|0.02|0.02|0.01|0.02
|||||
CO3Ca 				(%)|-|-|-|-|10.2
pH 				H2O|6.6|6.9|7.0|7.2|8.4
pH 				ClK|5.4|5.5|5.4|5.7|7.3
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|23.8|30.5|31.3|27.2|26.5
d 				    Ca++|16.0|22.0|23.4|20.8|20.2
C 				 e|||||
a 				         Mg++|2.8|3.2|3.7|3.1|3.4
t 				   c|||||
i 				   a     K+|2.63|2.22|1.95|1.80|1.50
o 				  m|||||
n 				  b     Na+|0.43|1.0|1.1|0.7|0.86
e 				  i|||||
s 				  o     H+|1.3|0.9|0.8|0.8|ND
|||||
Equivalente 				de humedad (%)|24.61|31.33|29.19|26.40|24.64
