er326c|||||
NÂº 				de registro|706|707|708|709|710
Horizonte|A11|A12|B21t|B22t|B3ca 				(g)
Profundidad 				(cm)|00-13|20-30|41-49|63-75|100-120
Materia 				orgÃ¡nica (%)|4,55|2,13|1,48|1,10|0,22
C 				(%)|2,65|1,24|0,86|0,64|0,13
N 				(%)|0,231|0,107|0,073|0,054|0,018
C/N|11|12|12|12|7
|||||
|||||
CO3Ca 				(%)|0,0|0,0|0,0|0,0|0,0
pH 				H2O|5,3|5,7|6,3|7,2|7,8
pH 				ClK|-|-|-|-|-
|||||
Capacidad 				de intercambio catiÃ³nico 				(meq/100 g) =   valor 				T|29,30|29,10|31,40|39,60|36,30
% 				Na/T|1,4|1,0|1,3|2,0|1,7
