er1101c||||||
NÂº 				de registro|8553|8554|8555|8556|8557|8558
Horizonte|A1|B21t|B22t|B23t|B3|C
Profundidad 				(cm)|02-08|13-39|45-60|66-80|85-110|125-132
Materia 				orgÃ¡nica (%)|8.66|1.56|1.44|0.73|0.30|0.08
N 				(%)|0.43|0.14|0.09|0.08|0.04|0.03
C/N|11|6|9|5|3|1
T 				                    < 2 Âµ|41.22|45.16|52.11|50.37|45.53|40.71
E 				                  2-20 Âµ|28.76|25.39|24.68|29.13|33.23|34.97
X 				                 2-50 Âµ|55.75|50.31|45.05|46.85|51.37|55.74
T 				              50-100 Âµ|0.62|2.74|0.49|1.16|1.56|0.60
U 				           100-500 Âµ|1.94|1.61|2.29|1.57|1.48|2.91
R 				         500-1000 Âµ|0.27|0.18|0.06|0.05|0.06|0.04
A 				       1000-2000 				Âµ|-|-|-|-|-|-
||||||
CO3Ca 				(%)|-|-|-|-|-|-
pH 				H20|5.6|6.3|6.9|7.4|7.7|7.9
pH 				ClK|4.9|5.2|5.5|6.0|6.2|6.3
C.E.(mmhos/cm)|1.17|0.75|0.86|0.79|0.57|0.54
Capacidad 				de intercambio catiÃ³nico 				(m.e./100 g) = valor 				T|36.3|37.4|42.4|39.1|34.5|30.6
Equival. 				de humedad (%)|45.90|48.76|56.00|54.65|50.01|45.77
