er7113c|||||||
NÂº 				de registro|1685|1686|1687|1688|1689|1690|1691
Horizonte|Ap|B1|B21t|B22t|B23tca|B3ca|Cca
Profundidad 				(cm)|05-15|20-32|40-65|80-95|105-120|130-145|150-160
Materia 				orgÃ¡nica (%)|3.53|4.23|2.82|1.21|0.63|0.49|0.07
N 				(%)|0.09|0.10|0.07|0.04|0.03|0.02|0.01
C/N|22|24|23|15|11|10|2
T 				                     < 2 Î¼|31.12|31.85|39.10|39.66|46.02|46.42|47.38
E 				                   2-20 Î¼|36.74|36.60|34.11|31.17|22.42|21.88|23.40
X 				                   2-50 Î¼|67.04|66.19|58.99|58.79|58.85|52.62|51.99
T 				               50-100 Î¼|0.67|0.74|0.50|0.42|0.24|0.29|0.22
U 				             100-500 Î¼|1.16|1.21|1.40|1.12|0.88|0.65|0.39
R 				           500-1000 Î¼|0.01|0.01|0.01|0.01|0.01|0.02|0.02
A|||||||
|||||||
CO3Ca 				(%)|0.0|0.0|0.0|0.0|3.64|7.27|5.33
pH 				H2O|7.5|7.4|7.4|7.4|8.2|8.3|8.3
pH 				ClK|6.9|6.5|6.3|5.9|6.9|6.9|6.9
CE 				(mmhos/cm)|1.111|0.693|0.741|0.640|0.624|0.663|0.717
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|28.32|29.50|39.23|39.17|45.15|44.71|44.28
d 				    Ca++|23.47|24.32|32.46|31.21|37.60|-|-
C 				 e|||||||
a 				         Mg++|2.12|2.24|2.80|3.20|3.45|-|-
t 				   c|||||||
i 				   a     K+|1.74|1.53|0.92|1.21|0.97|1.32|1.12
o 				  m|||||||
n 				  b     Na+|0.37|0.50|0.75|1.39|1.50|1.75|1.77
e 				  i|||||||
s 				  o     H+|-|-|-|-|-|-|-
|||||||
% 				Na/T|1.31|1.69|1.91|3.55|3.32|3.91|3.99
|||||||
Equivalente 				de humedad (%)|34.00|34.05|43.00|43.66|45.00|44.50|45.00
FÃ³sforo 				asimilable (ppm)|10.54|4.35|3.03|2.39|2.35|2.34|2.34
