er787c|||||
NÂº 				de registro|5436|5437|5438|5439|5440
Horizonte|Ap|B21t|B22t|B3|Cca
Profundidad 				(cm)|05-25|45-60|75-85|94-105|125+
Materia 				orgÃ¡nica (%)|3.55|1.56|0.45|0.15|0.08
N 				(%)|0.16|0.09|0.05|0.04|0.02
C/N|13|10|6|-|-
T 				                     < 2 Î¼|26.40|47.50|40.90|31.00|52.40
E 				                   2-20 Î¼|33.80|25.40|26.90|35.40|30.40
X 				                   2-50 Î¼|68.31|48.99|54.66|64.40|43.47
T 				               50-100 Î¼|5.08|3.32|4.24|4.42|4.00
U 				             100-500 Î¼|0.20|0.19|0.20|0.18|0.14
R 				           500-1000 Î¼|-|-|-|-|-
A 				         1000-2000 Î¼|-|-|-|-|-
|||||
CO3Ca 				(%)|-|-|-|-|10.7
pH 				H2O|5.5|6.4|6.9|7.2|7.8
pH 				ClK|6.1|6.3|7.0|7.0|8.1
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|27.40|35.80|36.10|35.80|34.90
d 				    Ca++|20.00|26.80|26.70|25.80|27.70
C 				 e|||||
a 				         Mg++|1.10|2.80|4.50|5.30|4.00
t 				   c|||||
i 				   a     K+|2.22|1.94|2.33|2.26|1.80
o 				  m|||||
n 				  b     Na+|0.70|0.57|1.00|0.86|0.70
e 				  i|||||
s 				  o     H+|3.10|2.90|1.50|0.90|ND
|||||
Equivalente 				de humedad (%)|28.09|42.48|37.76|35.72|31.96
